series_id,book_id
2067,35439987
1000,6962816
6180,576565
6185,522597
1064,2635498
6216,3187154
3446,6764231
6247,18708437
1037,11359361
6260,201354
6079,13543188
6288,18465550
6289,18106691
6303,907676
840,685579
727,4339191
83,826582
5979,6741852
6338,13632485
2354,19336
5378,17697959
6413,736116
490,7800410
1037,12160853
6422,6297
2351,18111770
6445,55453
2712,20826742
5979,6795861
6504,219813
2131,7343947
6505,34871
2538,13354343
6539,2314849
1037,10793264
6557,8067175
6568,22741863
5713,137450
6079,9548739
2712,19308397
6585,13369227
5302,38396
6616,31945240
6623,2054617
5979,17801504
6649,6924697
6650,892463
6659,8396340
6660,363711
2538,13572619
5067,12414235
6683,10092591
6685,956478
6687,1475747
1290,1205580
1181,15841845
6703,8939770
6748,18690048
6079,23824206
6759,2047603
6760,7693839
6769,30332862
5979,26865311
118,24150
6649,6922803
1361,10450750
6801,7140220
6816,11506675
6837,13458758
6079,23629814
1175,23563659
6862,6375048
6869,7074728
1437,31194232
5979,13241696
2538,11194442
1700,2617843
6918,9675221
3210,2578114
6928,14427
6941,16109187
808,10661081
6952,7654949
6964,1921992
6079,18693744
6978,914487
6997,7547710
5979,28249945
7005,1095697
7012,260811
6649,5889035
7021,146199
1057,8147248
2882,42699
2538,13491220
7036,43576
2239,116295
7045,116326
6376,2418066
4613,18513786
6964,1330198
3614,31450846
7079,865850
802,13594588
7100,3479967
6883,23908423
4581,364550
7122,3005076
2538,13576195
7139,13583766
6079,11737081
7183,34055460
6119,41363
7214,11719
7217,314926
7222,2812137
7247,9609248
7250,18392905
7267,866134
7268,8483904
7294,738208
7303,33840924
7305,26067738
6623,2054629
83,181601
7313,573009
7122,6349902
4258,100359
7324,6012533
2348,52528
7335,8576171
7247,4990508
1546,21897817
7357,158785
7294,738175
7183,17901177
1396,23310161
4203,39804902
7430,604578
2712,23271683
6623,2054669
4203,43263231
7488,482308
2354,885500
83,2865944
7491,1286268
2413,1624561
3210,2458709
7513,282083
7527,6382952
6376,17284746
887,15790868
7550,24221221
7554,129847
7555,393128
6623,2737090
2278,440116
4203,22238177
517,19647
7606,3977238
6376,17284737
7608,11736973
7612,867248
7617,20605813
4033,2960686
7636,13236938
3026,91263
4203,41555953
7641,2188829
6705,115817
7655,775597
7656,4704388
6376,16155000
7617,6653469
7686,25083550
4033,2960690
5107,18461360
7294,263175
9626,36244423
20,93742
7729,8323386
7730,13547345
33,8454515
122,13494834
7021,227286
1339,28501505
20,93743
1366,7337
7795,12610592
6376,17586475
7686,21415082
490,11834349
7824,1692524
7831,26591767
641,786729
3645,34509
7861,6342602
7686,21411409
1546,13514251
7890,17679520
7893,13635860
6376,44286669
7907,13501651
76,12325994
7914,169524
1633,1387654
7686,12729237
1410,95657
1410,1054845
3708,3398
7966,184866
76,1302584
7976,269353
1546,11483403
1633,1387563
8000,17938417
8002,26831901
7313,573003
2131,2761829
76,12325796
2348,91439
1546,10954704
8052,21370980
4308,618174
8062,700157
1097,359830
8080,3128223
517,19421888
1343,7739968
1559,6100632
1410,6443318
8137,6516222
8139,788431
8156,900068
6076,20168816
8176,1830583
8180,122981
2418,7012297
5048,66691
8202,150851
8216,30518871
8221,20578515
490,4947464
8230,154072
641,359798
6861,13095649
5068,127582
8176,458191
2442,13580660
3348,922724
8287,47695
8303,32802274
8306,2360206
83,684420
874,9301842
8328,337040
23,29370481
4258,218461
83,432463
8343,1290068
874,510583
8376,171807
345,201041
83,2208741
874,1000239
1175,17701652
8411,393470
8413,29936927
8421,10329470
8421,7685228
8426,20813238
4067,2104355
8411,900394
8447,933549
8462,6723799
3026,32275
874,570534
641,131776
5554,4488
8500,25637684
8502,1931595
8504,17570744
8411,969006
8510,16401
8531,57148
8536,21525975
8538,131129
8366,22460295
8553,2091194
490,10087767
2278,338069
4284,523761
874,346692
8628,813789
8645,17281226
6156,773606
8645,17281230
8306,1089325
8698,43364
490,13481283
8704,8113297
8707,443845
8306,2314769
874,875644
2278,2213486
8725,1387399
8729,8174434
6130,38496733
8759,13185980
2278,11623441
8306,2360207
8773,1227457
8303,35341537
8777,89867
8786,839503
8306,2065568
4613,18513789
692,6661677
8801,7973812
3026,132695
8306,2065589
8820,85862
8825,6381379
8306,704172
4613,18513774
8846,397023
8847,17137623
8872,34847105
8874,1749162
8877,13059026
241,1115866
8901,21853637
4308,2216225
7139,31298846
8951,137045
2474,1763612
3645,2429032
2278,22224
9007,7721611
1409,765654
9012,532974
9013,32570788
2278,440122
9044,132913
3348,20015783
9054,2281220
5565,1212152
7615,18740605
3126,19622432
1097,161540
9080,1126503
9081,7785
9089,19271017
9071,17038015
3348,61449
9071,17038016
641,758614
9071,17038017
5565,21168477
9080,1126549
9123,301058
1785,32832
3126,3872871
641,791780
2157,1003311
3126,6878541
9151,289232
1882,77368
5713,10266875
7488,294284
9185,118017
9207,2855642
9209,217883
9217,385250
9220,29604396
9225,9997241
1382,106151
9217,402026
9229,667147
7355,1147988
9239,3305824
5302,10673335
9209,217884
9209,217902
9273,492812
9276,18148722
3898,316287
9282,18692932
9291,3335148
9292,131693
9298,1049070
4074,12576078
4088,203023
9317,2200090
9089,120646
9333,854727
9089,515593
9341,1002873
1843,40782286
9344,499415
9345,35958
9350,632117
9354,1769738
5970,120694
9361,10119526
9376,178051
8462,6723744
9394,344018
9395,17802957
2354,885498
5105,808853
8901,15702859
9413,13516050
8306,704176
9420,386421
9421,6383706
9427,18130046
9432,179101
9439,492109
9441,4565266
3026,797498
9459,17369283
9471,2657
517,70401
9081,233093
9488,5907
1366,7332
250,24812
9500,11297
9502,4929
9503,44186
1366,33
9515,67896
9520,1202
162,3950967
9526,3257136
4610,656
8707,13006
9555,35519
7021,57460
9558,6440
2262,248596
2262,50033
1882,41424
6861,11918
9575,23878688
2067,17309
9601,46677
83,767680
162,41899
1366,597790
517,412732
250,59715
162,111450
9641,18386
9081,667234
9648,11925514
4839,7779
812,96358
250,24813
9697,26157586
9708,6316171
9728,48757
9730,301736
78,22632
9759,10016013
517,50140
6299,1108124
9781,12969140
2354,19321
2067,17303
9471,24817626
9274,11366397
9810,73186
1403,15839984
7235,24388326
7100,823411
9823,79626
3246,17886
6861,11922
9850,2168850
7357,158770
6861,11919
6861,4107256
250,24815
9894,17563755
8,364089
9924,87640
9926,97486
9728,89370
3599,3609763
1020,19747756
2239,7557548
9420,386234
6760,3586
641,11099729
311,6364657
9991,6505109
727,3838932
2712,17286162
10004,6375561
517,10461
6975,1627
8426,6050822
9608,13578175
7139,13568619
10026,35023531
10030,91289
2348,91440
10044,615570
83,826584
10091,7329
5067,11742691
10111,223394
2348,63837
812,22374
6861,11915
6957,34076952
6861,125926
78,188226
2474,318335
10026,53135268
10123,6638377
517,330760
2086,343545
439,3419808
6376,11432
83,826585
773,9864913
2239,34508
6376,35332
727,3437465
4581,416318
10188,214332
9648,17262236
8707,91571
10203,47626
1190,78408
6861,6725785
10216,3303559
7100,17661831
9924,13939
10226,189802
6861,7797032
6650,825081
10259,231850
6031,54258
2712,17698038
4258,100344
7460,486324
2985,111220
9951,28524
9571,92377
1097,758654
6096,10072160
641,599090
9274,17948607
9395,61505
78,448836
10327,105232
10336,2083991
10345,42447
10226,18884
8230,60080
490,10147
10350,96471
10352,14828781
7021,227274
5302,459134
6861,2813124
9520,6402364
556,4983
10405,6594826
10410,1129928
2348,78887
6156,475339
6861,862350
1410,1603101
10420,6721258
1064,7642606
10441,40090
250,24494
6861,1541884
10458,35427101
10461,15719
10463,7514774
874,570540
10470,6871737
2354,756712
2712,17404452
10473,765427
10481,91714
5068,177001
6861,125925
9229,530425
10488,331344
20,4067103
