user_id,book_id
7,54442992
8,15730101
19,44767458
22,17245
32,54443000
48,54443009
1,11588
4,54443019
6,113436
7,54443021
17,54443024
20,54443026
32,54443030
35,54443032
40,1032784
47,113436
48,54443034
52,44767458
60,54443037
61,29044
1,40961427
7,54443045
10,54443046
20,40961427
32,54443052
36,54443055
41,54443057
44,54443058
60,23437156
61,54443064
