book_id,publisher_id
630104,19655
9487,19656
32721558,19657
39030,19658
998,19659
311164,19660
32105,19661
14759015,19662
71292,19663
821003,19664
24876258,19665
80631,19666
81048,19667
7640261,19668
35226779,19669
176892,19658
138811,19670
15990489,19671
15743075,19672
25200,19673
13549445,19674
550844,19675
13356504,19676
17234659,19677
25906415,19678
7431066,19679
23346719,19680
274400,19668
1977834,19681
228345,19669
7831145,19682
58893,19683
153783,19684
870461,19685
286136,19686
6419887,19687
228244,19688
3004139,19689
93729,19690
71869,19683
900682,19691
36347810,19692
124923,19679
2214574,19693
4842437,19694
7163862,19695
8662135,19696
97860,19697
10587120,19698
79484,19699
26936,19700
91760,19701
621687,19702
199635,19669
39097,19703
25975141,19678
1783289,19655
5498077,19668
7704979,19704
24764,19705
239065,19706
475965,19707
7129468,19708
1891296,19709
294042,19671
6556261,19710
8685644,19711
15549,19669
10414941,19712
10065348,19713
9761341,19713
19286623,19714
100629,19715
28978,19716
7943678,19704
167302,19717
311308,19660
16356,19718
82553,19683
16130758,19719
13425352,19668
922119,19720
5350,19721
294285,19722
22852698,19723
457762,19702
618924,19724
13151,19725
402,19717
104216,19726
244475,19727
7893,19668
878307,19660
12447,19670
85993,19690
226425,19728
3942622,19722
47241,19729
339026,19683
37451,19708
4134071,19730
146106,19731
140278,19732
137098,19659
820480,19655
112075,19700
50725,19733
6503152,19722
264587,19734
1933181,19669
13806,19701
12700306,19735
17558817,19736
6572,19737
1125413,19738
45234,19739
6420,19740
13012638,19713
6519314,19741
10222362,19742
16707,19743
125432,19744
313605,19717
25242224,19745
8296,19690
105301,19746
93794,19747
943903,19748
545875,19749
6064646,19750
149621,19751
11750412,19752
7728889,19753
15815333,19754
11237412,19668
127028,19755
177523,19756
4070493,19757
8811139,19758
25892878,19759
22693811,19760
696703,19761
79090,19762
153193,19679
826583,19668
266599,19742
10329483,19763
511528,19764
2917367,19765
782898,19766
117904,19767
3064278,19768
13438524,19668
16070018,19757
137972,19769
15814479,19770
111831,19670
836610,19771
44150974,19655
597040,19772
5137,19688
901111,19773
45169,19774
143691,19727
8579933,19775
41958,19776
862108,19669
1033346,19777
16315,19778
9526,19779
13325079,19780
5055,19781
1946,19782
6340016,19783
32430,19679
1988040,19784
107792,19785
60483,19786
126507,19725
10816297,19787
15817326,19788
26031279,19789
23492741,19762
4447991,19790
24963,19791
1724365,19783
7346,19792
10822,19793
6359133,19699
2841694,19655
175828,19666
44236,19700
2073686,19794
670686,19795
762053,19706
10000,19700
155206,19744
613218,19796
649361,19737
74043,19797
2305862,19758
12764,19798
16182,19739
640029,19799
27833670,19671
21400356,19800
11746102,19801
15790833,19802
2535732,19803
961831,19706
4806,19803
7058405,19804
34524,19680
24156,19805
458313,19727
216196,19700
6280379,19806
7263429,19765
10174795,19714
1878,19700
609870,19807
143728,19808
50695,19700
17570751,19659
73051,19665
12882349,19809
47061,19810
16115,19753
129223,19811
233904,19669
3157877,19812
22193,19708
32957,19700
627055,19813
41951,19747
563457,19785
6084471,19814
73954,19717
2062048,19719
238126,19815
12389310,19816
252999,19817
51933,19700
27153413,19818
16114,19753
146109,19777
1034185,19819
20345202,19750
110396,19722
32940867,19820
534289,19821
16111,19753
2464531,19716
