author_id,book_id
40822,9487
40822,6050894
38529,311164
36913,24876258
42377,80631
38000,22028
37891,15990489
36663,15743075
46751,13549445
38025,18523711
36672,17234659
37126,165782
37285,274400
36629,7831145
37043,58893
37043,153783
40822,870461
37065,286136
36697,93729
38153,71869
38492,7519640
36575,2214574
40560,7163862
38088,8662135
41071,97860
43680,79484
48212,1438096
43662,39097
38078,1783289
36697,7704979
36627,24764
41934,1891296
42187,294042
38904,8685644
37410,15549
40690,10414941
45394,10065348
45394,11242368
37211,19286623
40450,100629
42402,28978
36697,7943678
42648,167302
38529,311308
37978,16356
38153,82553
36546,16130758
36810,13425352
40670,922119
37993,5350
36850,294285
37872,22852698
38570,457762
45476,618924
36600,13151
42191,402
40462,244475
40853,12447
36697,85993
36857,3942622
40412,47241
37046,339026
38586,37451
39705,11273356
38172,13075513
37978,140278
38788,137098
38078,2206960
43582,50725
36894,1933181
38280,13806
37820,12700306
36698,17558817
41435,13570639
44494,45234
36599,6420
45394,13012638
36700,10222362
37231,7958
39091,93794
37676,943903
43037,545875
41702,149621
37918,11750412
41550,15815333
36810,11237412
40739,127028
38776,177523
39159,13605496
45612,17735
39252,22693811
36864,153193
40831,10329483
37486,2917367
43690,782898
48027,117904
37225,13438524
39159,15710495
38140,137972
43954,15814479
38078,1783281
36856,597040
47066,5137
39432,18669536
37891,41958
38745,862108
37978,16315
43715,13325079
36623,5055
38958,6340016
38427,32430
38537,1988040
36647,107792
37861,60483
37985,126507
42181,10816297
36639,15817326
37126,23492741
47841,4447991
37414,24963
44433,6359133
48279,175828
40093,44236
36832,762053
40690,155206
41721,22756190
39275,613218
36853,74043
36624,16182
37814,640029
37764,8350864
46751,21863558
37171,21400356
36863,11746102
41629,15790833
40462,458313
45267,216196
37290,6280379
36871,7857713
42998,10174795
41957,143728
39751,50695
37639,17570751
42498,73051
43686,12882349
40293,233904
36883,3157877
38586,22193
37840,32957
37891,41951
38117,563457
39711,628283
36645,238126
36675,13365532
36770,20345202
37179,110396
36595,32940867
42402,2464531
37265,747746
38749,129117
40408,68333
45888,236814
38008,19476
37867,18249280
38586,22192
43221,233044
37347,42960
45451,10551253
38454,4789801
36547,104344
38266,38225791
42727,456
37831,24903919
43794,366787
39453,71622
38203,45241
37398,7312324
39508,10897866
41548,1049509
37403,19580
37828,830784
37156,15046
36597,2002
36630,9394010
39499,12955738
48342,24804
38858,40670312
40456,32758901
36853,74046
40462,3630983
37832,228534
41938,1022209
38989,140260
36481,114172
41951,2592122
38985,844935
36857,6503154
40025,8608453
42925,6687247
41534,10048874
43332,179174
40604,53645
37200,17204860
37179,110393
45632,188454
41637,231560
46720,339210
36481,105574
37358,3416
38407,9554790
37638,6100797
37727,61898
37312,6777616
37415,78972
45122,25128811
47712,762563
37416,80672
38586,47922
38586,22189
37296,138683
37856,104627
36606,61115
37810,2420340
38909,3216451
43049,6090807
39781,17305783
37312,11277218
36558,13316328
37312,13642963
43810,15799936
44354,7101
38586,561402
41243,228128
37410,92846
41640,13516487
37664,10283764
40456,35519101
38586,22191
46297,438923
43869,590324
37857,10978
39278,26480
37856,54028
47942,2330877
36794,6586456
42256,35465
47812,8241088
43332,96428
36832,59821
41192,4333469
37359,42929
47195,564325
37042,257962
38027,6569211
39831,8999892
39343,263919
40421,9766063
41957,971239
39381,12093000
37607,960495
40555,8602864
37792,13497142
47103,13504041
42125,15706108
46918,13248799
48448,16029550
37440,13416711
45671,15719561
45965,786699
48027,549237
37775,17339738
45950,18008226
43069,17354744
47633,18158535
39086,17190226
39430,18171014
43518,1212610
39082,18136883
38807,29661618
47785,166562
39129,10014677
36754,15739817
38095,21878763
47125,22918893
39611,741481
39902,22436841
39209,20335752
41833,25022297
40290,25319777
38717,3831344
40035,25697968
43978,17493
45685,36390016
36605,1880496
40204,48678296
42480,2218102
38846,53398496
37066,116567
37058,44516
46615,3359011
36922,379160
43331,2432061
37470,284338
38437,24816
36605,620790
46615,7052308
48557,7532858
37692,128518
47062,77844
37367,199531
37406,21485
38231,10169662
37818,6972157
40317,13282838
36908,16099180
40690,209889
37967,5927595
43869,590323
40082,12878300
39930,13421433
39580,16164966
38162,23016364
36669,28958920
38109,13152194
37478,19078625
41401,18713134
41978,13162223
40975,12617286
37392,693447
42601,21899705
39967,56636
41839,18684615
47325,21816542
45012,24568450
38230,11324334
37851,747061
45241,13260545
42939,22725294
38605,24677549
36560,23016659
40345,1335601
39905,27853361
44301,18456078
42254,31815310
37774,12970162
37609,28008677
36588,35425827
40426,62794
42657,14285
44214,50781
39259,165856
48599,9924320
38023,3073174
37420,192955
42152,1118874
36495,5820384
39816,11903141
38242,8161632
38860,10863979
37993,1205297
42386,14404
37434,18999
38625,3426706
39039,9475932
37463,11714997
38203,866136
41210,15734418
36933,8922087
37440,13605091
41931,9242236
38715,2498049
36970,13517470
38376,7812107
36733,12180248
38600,4303567
37955,17281601
43069,12262889
46760,5985016
38418,11164732
41401,18713128
38025,7203997
37594,20518655
37204,18138948
47679,984021
36559,10552338
39908,21915986
41125,17335881
39056,20943623
39095,13606970
38680,23280000
38682,20492283
38682,17913288
40290,25668685
40174,23517137
46668,119729
40035,27263454
37918,24849026
37246,23209927
40035,30839185
48190,6839020
45816,30841984
36793,55792
37181,48855342
36566,181972
40013,6006822
38634,108051
39418,593105
42567,9263
41257,170529
40221,605663
47290,615359
37385,10711
47942,406422
38831,11106249
43443,80738
39884,131304
46720,838130
37410,15743703
46166,3173125
37498,43885
38694,2877205
37875,66677
44580,12384984
40583,9219901
45111,15766776
39636,18667307
37962,297898
38878,21894650
37193,22324795
40576,18811324
37406,42988
46305,22739190
37247,783291
46201,25053346
47271,22841551
47802,28091259
39905,17657206
39547,23266378
46889,18586621
39814,31367949
39309,15790894
42870,32797060
36581,24611819
39039,34213608
36693,29923707
36669,31144992
36670,33893388
36670,23688121
38257,35297469
38551,43191510
46615,3359010
36906,43848929
36800,446279
44019,807044
36812,209690
39823,5409442
44299,347339
37123,15100
42314,588723
47956,16743
40625,459901
40722,271487
37344,205821
37229,867356
41556,11717230
38876,1569097
41567,2942523
37317,8485458
36831,975885
40610,6851
45775,16114675
37802,13603792
37802,13044650
37802,11672438
36973,96908
36849,21278
36969,3664164
37306,3629971
37440,15782604
42269,16075834
39930,15980313
36866,12444166
40716,38463
46305,17283481
37873,186668
37181,17458478
36904,3675828
43674,353761
47703,1433867
42314,293951
36743,7074259
37317,1357195
41972,20321703
41972,18714697
38726,6722482
38827,20567999
37962,5723653
37321,22751611
46751,21801701
36688,18295852
46955,20483084
40290,17700404
47971,13415323
41535,13410943
46504,29776603
48451,13505635
38532,603387
36577,27272505
48225,440638
41309,548370
46889,23466036
48149,11547633
37493,3170458
46250,34091026
37494,724666
39495,432020
36682,34739995
39590,11205802
36839,11284
39464,109326
45709,28660
41221,77789
37611,882053
41173,3250465
40696,541920
44009,763489
37277,112080
37891,34303
37851,2350129
37875,66692
36814,338131
45645,381364
37231,6397351
39794,2781819
48060,362888
38027,6941324
36620,7871086
37368,7696504
37138,765811
36857,2972472
38237,781132
38831,12864154
36794,5659537
41554,384579
36599,6419
39106,3993839
36768,8951449
41188,6318413
42673,11455154
48295,2054504
38024,13524900
41509,13097681
38529,311196
45622,527495
48458,27817191
38809,73906
36935,11549777
38698,5557442
40196,15724908
42538,5082616
36523,18487180
37244,18104749
41975,18129599
45031,21468450
36674,12578294
39940,18310201
37885,16122643
39171,30843
48257,18858489
38621,22847427
36768,18105451
37962,7097866
41329,18188319
39954,13608133
38459,43691
43469,6276276
37104,44323
43018,15843041
36764,24002318
36765,21853636
43452,10187223
39556,20649195
36826,22046891
36874,6344832
37479,23299513
38217,23533039
39543,24382227
37512,18674889
38917,26245853
40020,77040
37882,13630171
40395,46038451
38949,34684622
38551,43191440
36896,19523454
39171,32618967
42122,25810500
41250,153418
37400,303073
39278,26482
