book_id,character_id
39030,1
39030,2
39030,3
39030,4
39030,5
39030,6
39030,7
39030,8
311164,9
311164,10
32105,11
32105,12
32105,13
71292,14
71292,15
71292,16
71292,17
71292,18
71292,19
24876258,20
24876258,21
24876258,22
24876258,23
24876258,24
24876258,25
24876258,26
15990489,27
15990489,28
15990489,29
15990489,30
15990489,31
15990489,32
15990489,33
15990489,34
15990489,35
15990489,36
15990489,37
15990489,38
15990489,39
15990489,40
15990489,41
15990489,42
15990489,43
15990489,44
15990489,45
15990489,46
15990489,47
15990489,48
15990489,49
15990489,50
15990489,51
15990489,52
15990489,53
15990489,54
15743075,55
15743075,56
550844,57
550844,58
550844,59
550844,60
550844,61
550844,62
550844,63
550844,64
550844,65
550844,66
550844,67
550844,68
23346719,69
23346719,70
23346719,71
274400,72
274400,73
274400,74
274400,75
1977834,76
1977834,77
1977834,78
1977834,79
7831145,80
7831145,81
7831145,82
7831145,83
7831145,84
7831145,85
7831145,86
7831145,87
7831145,88
7831145,89
7831145,90
7831145,91
7831145,92
7831145,93
7831145,94
7831145,95
58893,96
58893,97
58893,98
58893,99
58893,100
58893,101
58893,102
58893,103
153783,97
153783,98
153783,99
153783,100
3004139,104
3004139,105
93729,106
93729,107
93729,108
93729,109
93729,110
93729,111
71869,112
71869,113
71869,114
71869,115
71869,116
900682,117
900682,118
900682,119
900682,120
900682,121
900682,122
7163862,123
621687,124
621687,125
621687,126
199635,127
39097,128
39097,129
7129468,130
7129468,131
7129468,132
7129468,133
7129468,134
7129468,135
1891296,136
1891296,137
1891296,138
1891296,139
1891296,140
1891296,141
294042,142
294042,143
294042,144
294042,145
294042,146
15549,147
15549,148
15549,149
15549,150
19286623,151
19286623,152
28978,153
28978,154
167302,155
167302,156
167302,157
311308,158
311308,159
311308,160
16356,161
16356,162
16130758,163
16130758,164
922119,165
922119,166
5350,167
5350,168
294285,169
457762,170
457762,171
457762,172
618924,173
13151,174
13151,175
13151,176
13151,177
13151,178
402,179
402,180
878307,181
878307,182
878307,183
85993,106
85993,108
85993,109
3942622,184
3942622,185
339026,186
339026,187
339026,188
37451,189
37451,190
37451,191
37451,192
37451,193
37451,194
37451,195
4134071,196
4134071,197
146106,198
146106,199
146106,200
146106,201
146106,202
146106,203
146106,204
146106,205
140278,206
140278,207
140278,208
140278,209
140278,210
140278,211
140278,212
140278,213
140278,214
140278,215
140278,216
140278,217
140278,218
6503152,219
6503152,220
6503152,221
6503152,222
6503152,223
6503152,224
1933181,225
1933181,226
1933181,227
1933181,228
1933181,229
1933181,230
1933181,231
12700306,232
12700306,233
12700306,234
17558817,235
17558817,236
45234,237
6420,238
6420,239
125432,240
125432,241
8296,242
8296,243
8296,244
105301,245
105301,246
105301,247
105301,248
93794,249
93794,250
93794,251
943903,252
6064646,253
6064646,254
15815333,255
15815333,256
15815333,257
15815333,258
15815333,259
15815333,260
11237412,261
11237412,262
4070493,263
4070493,264
153193,265
153193,266
153193,267
153193,268
153193,269
10329483,270
10329483,271
13438524,272
137972,273
137972,274
137972,275
15814479,276
15814479,277
143691,278
143691,279
143691,280
862108,281
862108,282
862108,283
862108,284
862108,285
862108,286
862108,287
16315,288
16315,289
16315,290
16315,291
16315,292
16315,293
16315,294
16315,295
16315,296
16315,297
16315,298
16315,299
16315,300
16315,301
16315,302
9526,303
13325079,304
1946,305
1946,306
1946,307
1946,308
1946,309
1946,310
1946,311
1946,312
1946,313
1946,314
1946,315
1946,316
1946,317
1946,318
1946,319
1988040,320
1988040,321
1988040,322
1988040,323
1988040,324
1988040,325
1988040,326
107792,327
107792,328
126507,329
126507,330
126507,331
126507,332
126507,333
126507,334
126507,335
126507,336
15817326,337
15817326,338
24963,339
24963,340
24963,341
24963,342
24963,343
7346,344
7346,345
7346,346
6359133,347
6359133,348
175828,349
2073686,350
2073686,351
670686,352
670686,353
762053,354
762053,355
762053,356
762053,357
762053,358
762053,359
74043,360
74043,361
74043,362
74043,363
74043,364
74043,365
74043,366
74043,367
2305862,368
16182,369
16182,370
16182,371
16182,372
11746102,373
11746102,374
11746102,375
11746102,376
11746102,377
11746102,378
11746102,258
11746102,379
11746102,380
11746102,381
961831,382
961831,383
961831,384
961831,385
7058405,386
7058405,387
34524,388
34524,389
34524,390
34524,391
34524,392
216196,393
6280379,394
