book_id,award_id
998,10493
24876258,10494
7640261,10495
176892,10496
138811,10497
23346719,10498
1977834,10499
7831145,10500
58893,10501
6419887,10502
71869,10503
36347810,10504
2214574,10505
7163862,10506
8662135,10507
97860,10508
10587120,10509
621687,10510
199635,10511
39097,10512
7129468,10513
8685644,10514
10414941,10515
9761341,10516
167302,10517
311308,10518
82553,10519
22852698,10520
457762,10521
402,10522
226425,10523
13806,10524
12700306,10525
10222362,10526
25242224,10527
11750412,10528
7728889,10529
15815333,10530
127028,10531
8811139,10532
22693811,10533
79090,10534
2917367,10535
117904,10536
13438524,10537
9526,10538
13325079,10539
6340016,10540
107792,10541
126507,10542
23492741,10543
24963,10544
1724365,10545
7346,10546
175828,10547
44236,10548
762053,10549
613218,10550
2305862,10551
27833670,10552
11746102,10525
15790833,10553
2535732,10554
4806,10555
7058405,10556
216196,10557
6280379,10558
50695,10559
12882349,10560
3157877,10561
32957,10562
238126,10563
12389310,10564
110396,10565
19528,10566
129117,10567
68333,10568
842746,10569
109830,10570
355789,10571
4789801,10572
104344,10573
34272565,10574
24384,10575
38225791,10576
91953,10577
366787,10578
774032,10579
7897478,10580
72676,10581
187811,10582
4364,10583
1931915,10584
10402992,10585
32758901,10586
228534,10587
140260,10588
6687247,10589
27397,10590
179174,10591
427920,10592
105574,10593
146943,10594
6777616,10595
80672,10596
313263,10597
22875451,10598
6090807,10599
13642963,10600
15799936,10601
35519101,10602
14707,10603
31324,10604
256280,10605
518982,10606
950143,10607
36253,10608
6586456,10609
128109,10610
8466327,10611
7057397,10612
14288932,10613
12072969,10614
13248799,10615
786699,10616
17190226,10617
17296121,10618
29661618,10619
166562,10620
17586834,10621
1322303,10622
1071726,10623
27268403,10624
2484198,10625
18405537,10626
31447045,10627
32560066,10628
8225859,10629
331260,10630
116567,10631
2432061,10632
6771774,10633
6771730,10633
192954,10634
10169662,10635
369439,10636
12878300,10637
16067631,10638
17611261,10639
15757694,10640
13152194,10641
13420145,10642
94351,10643
56636,10644
24568450,10645
6046158,10510
40605223,10646
31815310,10647
12970162,10648
15818357,10649
35425827,10650
6390031,10651
13573419,10652
1967633,10653
13065327,10654
7023148,10655
165856,10656
11680603,10657
362002,10658
27297,10659
14404,10660
13062235,10661
12351695,10662
14624906,10663
9475932,10664
6344897,10665
9242236,10666
12180248,10667
65684,10668
10552338,10635
24767508,10669
17350491,10670
23209927,10543
40874032,10671
6839020,10672
30841984,10673
6732019,10495
31823677,10674
44107480,10675
108051,10676
815234,10677
170529,10678
1380834,10679
615359,10680
6658659,10681
10711,10682
406422,10683
11106249,10684
1739150,10685
131304,10686
838130,10687
10710392,10688
186445,10689
7779571,10690
3173125,10691
12384984,10692
9219901,10693
15766776,10694
22324795,10695
119832,10696
25053346,10697
17801134,10698
22841551,10699
24611819,10700
34213608,10701
31144992,10702
18077875,10703
35297469,10704
43848929,10705
21412215,10706
459901,10707
5269911,10708
317293,10709
6377319,10710
3107,10711
205821,10712
6309229,10713
12885,10714
320200,10715
781653,10716
8550813,10717
36310387,10718
8485458,10719
975885,10720
5444895,10721
21278,10722
12591698,10723
33016249,10724
3629971,10725
683406,10726
12444166,10525
8339286,10664
6465063,10727
186668,10728
3675828,10599
8542996,10729
71111,10730
744224,10731
1017302,10732
6686092,10733
7171561,10734
776175,10735
18295852,10736
69499,10737
13505635,10738
440638,10739
18589573,10740
11547633,10741
6455256,10595
40864841,10742
