book_id,author_id
9487,16510
32721558,16510
311164,14217
24876258,12601
80631,18065
35226779,13688
15990489,13579
15743075,12351
13549445,22439
13356504,13713
17234659,12360
7431066,12814
274400,12973
7831145,12317
58893,12731
153783,12731
870461,16510
286136,12753
93729,12385
71869,13841
36347810,14180
2214574,12263
7163862,16248
8662135,13776
97860,16759
79484,19368
1438096,23900
39097,19350
1783289,13766
7704979,12385
24764,12315
1891296,17622
294042,17875
8685644,14592
15549,13098
10414941,16378
10065348,21082
9761341,21082
19286623,12899
100629,16138
28978,18090
7943678,12385
167302,18336
311308,14217
16356,13666
82553,13841
16130758,12234
13425352,12498
922119,16358
5350,13681
294285,12538
22852698,13560
457762,14258
618924,21164
13151,12288
402,17879
244475,16150
12447,16541
85993,12385
3942622,12545
47241,16100
339026,12734
37451,14274
4134071,15393
13075513,13860
140278,13666
137098,14476
820480,13766
50725,19270
1933181,12582
13806,13968
12700306,13508
17558817,12386
1125413,17123
45234,20182
6420,12287
13012638,21082
10222362,12388
105301,12919
93794,14779
943903,13364
545875,18725
149621,17390
11750412,13606
15815333,17238
11237412,12498
127028,16427
177523,14464
4070493,14847
8811139,21300
22693811,14940
153193,12552
10329483,16519
2917367,13174
782898,19378
117904,23715
13438524,12913
16070018,14847
137972,13828
15814479,19642
44150974,13766
597040,12544
5137,22754
8579933,15120
41958,13579
862108,14433
16315,13666
13325079,19403
5055,12311
6340016,14646
32430,14115
1988040,14225
107792,12335
60483,13549
126507,13673
10816297,17869
15817326,12327
23492741,12814
4447991,23529
24963,13102
6359133,20121
175828,23967
44236,15781
762053,12520
155206,16378
22756190,17409
613218,14963
74043,12541
16182,12312
640029,13502
27833670,13452
21863558,22439
21400356,12859
11746102,12551
15790833,17317
458313,16150
216196,20955
6280379,12978
7263429,12559
10174795,18686
143728,17645
50695,15439
17570751,13327
73051,18186
12882349,19374
233904,15981
3157877,12571
22193,14274
32957,13528
41951,13579
563457,13805
6084471,15399
238126,12333
27153413,12363
20345202,12458
110396,12867
32940867,12283
2464531,18090
747746,12953
129117,14437
68333,16096
236814,21576
19476,13696
18249280,13555
22192,14274
233044,18909
42960,13035
10551253,21139
4789801,14142
104344,12235
38225791,13954
91953,18415
24903919,13519
366787,19482
71622,15141
45241,13891
7312324,13086
10897866,15196
1049509,17236
187811,13091
830784,13516
15046,12844
2002,12285
9394010,12318
12955738,15187
24804,24030
18044158,14546
32758901,16144
74046,12541
3630983,16150
228534,13520
1022209,17626
140260,14677
114172,12169
2592122,17639
844935,14673
6503154,12545
232268,15713
6687247,18613
10048874,17222
179174,19020
53645,16292
16064853,12888
110393,12867
188454,21320
231560,17325
339210,22408
105574,12169
3416,13046
9554790,14095
6100797,13326
61898,13415
6777616,13000
78972,13103
25128811,20810
762563,23400
80672,13104
47922,14274
22189,14274
313263,12984
104627,13544
61115,12294
2420340,13498
3216451,14597
6090807,18737
17305783,15469
11277218,13000
13316328,12246
13642963,13000
15799936,19498
7101,20042
73070,14274
228128,16931
92846,13098
13516487,17328
10283764,13352
35519101,16144
22191,14274
438923,21985
590324,19557
31324,13545
950143,14966
54028,13544
2330877,23630
6586456,12482
35465,17944
8241088,23500
96428,19020
59821,12520
4333469,16880
42929,13047
564325,22883
257962,12730
39704178,13715
8999892,15519
16071187,15031
9766063,16109
971239,17645
12093000,15069
960495,13295
8602864,16243
13497142,13480
13504041,22791
15706108,17813
13248799,22606
17977710,24136
13061500,13128
15719561,21359
786699,21653
549237,23715
17339738,13463
18008226,21638
17354744,18757
18158535,23321
17190226,14774
18171014,15118
1212610,19206
18136883,14770
29661618,14495
166562,23473
10014677,14817
15725485,12442
21878763,13783
22918893,22813
741481,15299
22436841,15590
20335752,14897
25022297,17521
25319777,15978
3831344,14405
25697968,15723
17493,19666
36390016,21373
1934,12293
48678296,15892
2218102,18168
53398496,14534
116567,12754
44516,12746
3359011,22303
379160,12610
2432061,19019
284338,13158
24816,14125
620790,12293
7052308,22303
7532858,24245
128518,13380
77844,22750
199531,13055
21485,13094
10169662,13919
6972157,13506
13282838,16005
16099180,12596
6275767,16378
5927595,13655
590323,19557
12878300,15770
13421433,15618
16164966,15268
23016364,13850
28958920,12357
13152194,13797
19078625,13166
18713134,17089
13162223,17666
12617286,16663
693447,13080
21899705,18289
56636,15655
18684615,17527
21816542,23013
24568450,20700
11324334,13918
747061,13539
90574,20929
20564453,18627
9266794,14293
23016659,12248
13605258,16033
17185584,15593
18456078,19989
31815310,17942
12970162,13462
28008677,13297
35425827,12276
62794,16114
14285,18345
50781,19902
165856,14947
9924320,24287
3073174,13711
192955,13108
1118874,17840
5820384,12183
11903141,15504
8161632,13930
10863979,14548
1205297,13681
14404,18074
18999,13122
3426706,14313
9475932,14727
11714997,13151
866136,13891
15734418,16898
37845319,12621
13605091,13128
9242236,17619
2498049,14403
13517470,12658
7812107,14064
12180248,12421
4303567,14288
17281601,13643
12262889,18757
5985016,22448
1166599,14106
18713128,17089
7203997,13713
20518655,13282
11556,12892
984021,23367
10552338,12247
21915986,15596
17335881,16813
20943623,14744
13606970,14783
23280000,14368
20492283,14370
17913288,14370
25668685,15978
23517137,15862
119729,22356
27263454,15723
16001443,13606
23209927,12934
40874032,15723
6839020,23878
30841984,21504
55792,12481
48855342,12869
181972,12254
6006822,15701
108051,14322
593105,15106
9263,18255
170529,16945
605663,15909
615359,22978
10711,13073
406422,23630
11106249,14519
80738,19131
131304,15572
838130,22408
15743703,13098
3173125,21854
43885,13186
2877205,14382
66677,13563
12384984,20268
9219901,16271
15766776,20799
18667307,15324
297898,13650
21894650,14566
22324795,12881
18811324,16264
42988,13094
2411470,21993
783291,12935
25053346,21889
22841551,22959
28091259,23490
17657206,15593
23266378,15235
18586621,22577
31367949,15502
15790894,14997
32797060,18558
24611819,12269
34213608,14727
29923707,12381
31144992,12357
33893388,12358
23688121,12358
35297469,13945
43191510,14239
3359010,22303
43848929,12594
446279,12488
807044,19707
21412215,12500
5409442,15511
347339,19987
15100,12811
588723,18002
64948,23644
459901,16313
271487,16410
205821,13032
867356,12917
11717230,17244
1569097,14564
2942523,17255
8485458,13005
975885,12519
6851,16298
16114675,21463
19135072,13490
13044650,13490
11672438,13490
96908,12661
21278,12537
3664164,12657
3629971,12994
15782604,13128
16075834,17957
7823592,15618
12444166,12554
38463,16404
17283481,21993
186668,13561
17458478,12869
3675828,12592
353761,19362
1433867,23391
1017302,18002
7074259,12431
1357195,13005
20321703,17660
18714697,17660
6722482,14414
20567999,14515
22712380,13650
22751611,13009
21801701,22439
18295852,12376
20483084,22643
17700404,15978
13415323,23659
13410943,17223
