character_id,book_id
168117,39030
168118,39030
168119,39030
168120,39030
168121,39030
168122,39030
168123,39030
168124,39030
168125,311164
168126,311164
168127,32105
168128,32105
168129,32105
168130,71292
168131,71292
168132,71292
168133,71292
168134,71292
168135,71292
168136,24876258
168137,24876258
168138,24876258
168139,24876258
168140,24876258
168141,24876258
168142,24876258
168143,15990489
168144,15990489
168145,15990489
168146,15990489
168147,15990489
168148,15990489
168149,15990489
168150,15990489
168151,15990489
168152,15990489
168153,15990489
168154,15990489
168155,15990489
168156,15990489
168157,15990489
168158,15990489
168159,15990489
168160,15990489
168161,15990489
168162,15990489
168163,15990489
168164,15990489
168165,15990489
168166,15990489
168167,15990489
168168,15990489
168169,15990489
168170,15990489
168171,15743075
168172,15743075
168173,550844
168174,550844
168175,550844
168176,550844
168177,550844
168178,550844
168179,550844
168180,550844
168181,550844
168182,550844
168183,550844
168184,550844
168185,23346719
168186,23346719
168187,23346719
168188,274400
168189,274400
168190,274400
168191,274400
168192,1977834
168193,1977834
168194,1977834
168195,1977834
168196,7831145
168197,7831145
168198,7831145
168199,7831145
168200,7831145
168201,7831145
168202,7831145
168203,7831145
168204,7831145
168205,7831145
168206,7831145
168207,7831145
168208,7831145
168209,7831145
168210,7831145
168211,7831145
168212,58893
168213,58893
168214,58893
168215,58893
168216,58893
168217,58893
168218,58893
168219,58893
168213,153783
168214,153783
168215,153783
168216,153783
168220,3004139
168221,3004139
168222,93729
168223,93729
168224,93729
168225,93729
168226,93729
168227,93729
168228,71869
168229,71869
168230,71869
168231,71869
168232,71869
168233,900682
168234,900682
168235,900682
168236,900682
168237,900682
168238,900682
168239,7163862
168240,621687
168241,621687
168242,621687
168243,199635
168244,39097
168245,39097
168246,7129468
168247,7129468
168248,7129468
168249,7129468
168250,7129468
168251,7129468
168252,1891296
168253,1891296
168254,1891296
168255,1891296
168256,1891296
168257,1891296
168258,294042
168259,294042
168260,294042
168261,294042
168262,294042
168263,15549
168264,15549
168265,15549
168266,15549
168267,19286623
168268,19286623
168269,28978
168270,28978
168271,167302
168272,167302
168273,167302
168274,311308
168275,311308
168276,311308
168277,16356
168278,16356
168279,16130758
168280,16130758
168281,922119
168282,922119
168283,5350
168284,5350
168285,294285
168286,457762
168287,457762
168288,457762
168289,618924
168290,13151
168291,13151
168292,13151
168293,13151
168294,13151
168295,402
168296,402
168297,878307
168298,878307
168299,878307
168222,85993
168224,85993
168225,85993
168300,3942622
168301,3942622
168302,339026
168303,339026
168304,339026
168305,37451
168306,37451
168307,37451
168308,37451
168309,37451
168310,37451
168311,37451
168312,11273356
168313,11273356
168314,146106
168315,146106
168316,146106
168317,146106
168318,146106
168319,146106
168320,146106
168321,146106
168322,140278
168323,140278
168324,140278
168325,140278
168326,140278
168327,140278
168328,140278
168329,140278
168330,140278
168331,140278
168332,140278
168333,140278
168334,140278
168335,6503152
168336,6503152
168337,6503152
168338,6503152
168339,6503152
168340,6503152
168341,1933181
168342,1933181
168343,1933181
168344,1933181
168345,1933181
168346,1933181
168347,1933181
168348,12700306
168349,12700306
168350,12700306
168351,17558817
168352,17558817
168353,45234
168354,6420
168355,6420
168356,125432
168357,125432
168358,8296
168359,8296
168360,8296
168361,7958
168362,7958
168363,7958
168364,7958
168365,93794
168366,93794
168367,93794
168368,943903
168369,6064646
168370,6064646
168371,15815333
168372,15815333
168373,15815333
168374,15815333
168375,15815333
168376,15815333
168377,11237412
168378,11237412
168379,13605496
168380,13605496
168381,153193
168382,153193
168383,153193
168384,153193
168385,153193
168386,10329483
168387,10329483
168388,13438524
168389,137972
168390,137972
168391,137972
168392,15814479
168393,15814479
168394,143691
168395,143691
168396,143691
168397,862108
168398,862108
168399,862108
168400,862108
168401,862108
168402,862108
168403,862108
168404,16315
168405,16315
168406,16315
168407,16315
168408,16315
168409,16315
168410,16315
168411,16315
168412,16315
168413,16315
168414,16315
168415,16315
168416,16315
168417,16315
168418,16315
168419,9526
168420,13325079
168421,1946
168422,1946
168423,1946
168424,1946
168425,1946
168426,1946
168427,1946
168428,1946
168429,1946
168430,1946
168431,1946
168432,1946
168433,1946
168434,1946
168435,1946
168436,1988040
168437,1988040
168438,1988040
168439,1988040
168440,1988040
168441,1988040
168442,1988040
168443,107792
168444,107792
168445,126507
168446,126507
168447,126507
168448,126507
168449,126507
168450,126507
168451,126507
168452,126507
168453,15817326
168454,15817326
168455,24963
168456,24963
168457,24963
168458,24963
168459,24963
168460,7346
168461,7346
168462,7346
168463,6359133
168464,6359133
168465,175828
168466,2073686
168467,2073686
168468,670686
168469,670686
168470,762053
168471,762053
168472,762053
168473,762053
168474,762053
168475,762053
168476,74043
168477,74043
168478,74043
168479,74043
168480,74043
168481,74043
168482,74043
168483,74043
168484,2305862
168485,16182
168486,16182
168487,16182
168488,16182
168489,11746102
168490,11746102
168491,11746102
168492,11746102
168493,11746102
168494,11746102
168374,11746102
168495,11746102
168496,11746102
168497,11746102
168498,961831
168499,961831
168500,961831
168501,961831
168502,7058405
168503,7058405
168504,34524
168505,34524
168506,34524
168507,34524
168508,34524
168509,216196
168510,6280379
168511,6280379
168512,6280379
168513,6280379
168514,6280379
168515,6280379
168516,6280379
168517,6280379
168518,6280379
168519,6280379
168520,6280379
168521,6280379
168522,6280379
168523,6280379
168524,6280379
168525,6280379
168526,6280379
168527,6280379
168528,6280379
168529,6280379
168530,6280379
168531,6280379
168532,6280379
168533,6280379
168534,6280379
168535,6280379
168536,6280379
168537,6280379
168538,6280379
168539,7857713
168540,7857713
168541,7857713
168542,7857713
168543,7857713
168544,7857713
168545,7857713
168546,7857713
168547,7857713
168548,10174795
168549,10174795
168550,10174795
168551,10174795
168552,609870
168553,143728
168554,143728
168555,143728
168556,17570751
168557,17570751
168558,17570751
168559,17570751
168560,17570751
168561,17570751
168562,17570751
168563,17570751
168564,73051
168565,73051
168566,73051
168567,73051
168568,73051
168569,73051
168570,12882349
168571,12882349
168572,129223
168573,3157877
168574,3157877
168575,3157877
168576,3157877
168577,3157877
168578,3157877
168305,22193
168306,22193
168307,22193
168308,22193
168309,22193
168310,22193
168311,22193
168579,563457
168580,628283
168581,628283
168582,238126
168583,238126
168584,238126
168585,238126
168586,238126
168587,238126
168588,238126
168589,238126
168590,238126
168591,238126
168592,238126
168593,238126
168594,238126
168595,238126
168596,252999
168597,252999
168598,252999
168599,252999
168600,252999
168601,252999
168602,252999
168603,252999
168604,16114
168605,16114
168314,146109
168315,146109
168316,146109
168319,146109
168320,146109
168606,146109
168607,146109
168321,146109
168608,110396
168609,110396
168610,110396
168611,110396
168612,32940867
168613,32940867
168614,32940867
168604,16111
168605,16111
168615,747746
168616,747746
168617,747746
168618,747746
168619,129117
168620,129117
168621,129117
168622,129117
168623,129117
168624,129117
168625,129117
168626,129117
168627,68333
168628,68333
168629,68333
168630,68333
168631,68333
168632,68333
168633,54589
168634,54589
168635,54589
168636,54589
168637,54589
168638,54589
168639,54589
168640,54589
168641,18249280
168642,18249280
168643,18249280
168644,109830
168645,109830
168646,109830
168647,109830
168648,109830
168649,109830
168650,109830
168651,109830
168652,109830
168653,109830
168654,109830
168655,109830
168656,9888794
168305,22192
168306,22192
168307,22192
168308,22192
168309,22192
168310,22192
168311,22192
168657,233044
168658,233044
168659,233044
168660,233044
168661,10551253
168662,10551253
168663,10551253
168664,4789801
168665,4789801
168666,104344
168667,104344
168668,104344
168669,104344
168670,104344
168671,104344
168672,104344
168673,104344
168674,456
168675,456
168676,456
168677,456
168678,456
168679,456
168680,24903919
168681,24903919
168682,24903919
168683,24903919
168684,24903919
168685,24903919
168686,24903919
168687,24903919
168688,366787
168689,366787
168690,774032
168691,774032
168692,774032
168693,774032
168694,774032
168695,774032
168696,774032
168697,71622
168698,71622
168699,71622
168700,71622
168701,13020
168702,13020
168703,13020
168704,13020
168705,13020
168706,13020
168707,13020
168708,13020
168709,13020
168710,13020
168711,13020
168712,13020
168713,13020
168714,13020
168715,13020
168716,13020
168717,13020
168718,13020
168719,13020
168720,13020
168721,13020
168722,13020
168723,13020
168724,13020
168725,13020
168726,13020
168727,13020
168728,13020
168729,13020
168730,13020
168731,13020
168732,13020
168733,13020
168734,13020
168735,13020
168736,13020
168737,13020
168738,13020
168739,13020
168740,13020
168741,13020
168742,13020
168743,19580
168744,19580
168745,6251471
168746,6251471
168747,830784
168748,830784
168749,830784
168750,830784
168751,830784
168752,830784
168753,9394010
168754,9394010
168755,1931915
168756,1931915
168757,1931915
168582,10402992
168583,10402992
168758,2141
168759,634757
168760,634757
168761,634757
168762,634757
168763,634757
168764,634757
168765,634757
168766,634757
168767,634757
168476,74046
168477,74046
168478,74046
168479,74046
168480,74046
168482,74046
168768,3630983
168769,3630983
168770,3630983
168771,1022209
168772,114172
168773,114172
168774,6503154
168775,6503154
168776,10048874
168777,10048874
168778,10048874
168779,10048874
168314,179174
168315,179174
168316,179174
168319,179174
168780,179174
168781,179174
168782,179174
168783,179174
168784,179174
168320,179174
168785,110393
168786,110393
168787,188454
168788,188454
168789,188454
168790,188454
168791,105574
168792,105574
168793,3416
168794,3416
168795,3416
168796,3416
168132,3416
168797,3416
168798,32703
168799,32703
168800,32703
168801,32703
168802,572692
168803,572692
168804,572692
168805,572692
168806,572692
168807,146943
168808,6100797
168809,6100797
168810,6100797
168811,6100797
168812,6100797
168813,6100797
168814,6100797
168815,61898
168816,61898
168817,6777616
168818,6777616
168819,6777616
168820,6777616
168821,6777616
168822,6777616
168823,6777616
168824,25128811
168825,25128811
168826,80672
168827,80672
168305,22189
168306,22189
168307,22189
168308,22189
168309,22189
168310,22189
168311,22189
168828,138683
168829,138683
168830,138683
168831,138683
168832,138683
168833,138683
168834,104627
168835,22875451
168836,22875451
168837,22875451
168838,22875451
168839,22875451
168840,22875451
168841,22875451
168842,22875451
168843,22875451
168844,3216451
168845,3216451
168846,3216451
168847,3216451
168848,3216451
168849,3216451
168850,3216451
168851,3216451
168852,3216451
168853,3216451
168854,3216451
168855,3216451
168856,3216451
168857,6090807
168858,6090807
168859,17305783
168860,17305783
168817,11277218
168818,11277218
168819,11277218
168822,11277218
168823,11277218
168861,13316328
168314,146108
168316,146108
168317,146108
168862,146108
168319,146108
168817,13642963
168818,13642963
168819,13642963
168820,13642963
168821,13642963
168822,13642963
168823,13642963
168863,13642963
168864,13642963
168865,13642963
168866,13642963
168867,13642963
