id,media_id
1,1
2,2
3,2
4,3
5,4
6,4
8,2
9,4
10,4
12,2
13,3
14,4
15,4
16,2
17,2
18,2
19,3
20,4
21,7
22,3
23,2
24,3
25,4
26,2
27,2
28,4
29,2
30,2
31,2
32,4
33,8
34,2
35,3
36,4
37,4
38,2
39,3
40,4
41,2
42,3
43,2
44,2
45,2
46,4
47,2
48,3
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,4
63,2
64,4
65,4
66,4
67,4
68,2
69,4
70,4
71,2
