book_id,listegenre,award
431,"Contemporary, Fiction, Literature-American, Mystery, Novels",0
432,"Classics, Contemporary, Fiction, Literature, Literature-American, Mystery, Novels",1
435,"Fiction, Literature, Literature-20th Century, Literature-American, Mystery, Novels",0
446,"Contemporary, Fiction, Literature, Literature-American, New York, Novels",0
447,"Contemporary, Fiction, Literature-American",0
449,"Animals, Animals-Dogs, Fiction",0
454,"Fiction, Literature, Literature-American, Mystery, Novels",0
456,"Fiction, Literature, Literature-American, Novels, The United States Of America",1
463,"Anthologies-Collections, Autobiography-Memoir, Biography-Autobiography, Contemporary, Literature, Literature-American, Nonfiction, Short Stories, The United States Of America, Writing-Essays",0
475,"Anthropology, Culture-Society, Economics, Environment, History, Nonfiction, Politics, Science, Social Science, Sociology",1
477,"Anthropology, Economics, History, Nonfiction, Politics, Science, Sociology",0
493,"Biography, Biography-Autobiography, History, Nonfiction, Science",0
509,"Drama, LGBT, Plays",0
597,"Autobiography-Memoir, Biography, Contemporary, Culture-Pop Culture, Humor, Music, Nonfiction, Suspense, Travel, Writing-Essays",0
599,"Culture-Pop Culture, Humor, Music, Nonfiction, Writing-Essays",0
629,"Classics, Fiction, Literature, Philosophy, Psychology, Religion, Self Help, Spirituality, Travel, Unfinished",1
647,"Business, Economics, Nonfiction, Politics, Sociology",1
654,"Anthologies, Classics, Classics-Classic Literature, Cultural-Russia, Fiction, Literary Fiction, Literature, Literature-19th Century, Literature-Russian Literature, Short Stories",0
655,"Classics, Cultural-Russia, Fiction, Literature, Literature-Russian Literature, Short Stories",0
656,"Classics, Cultural-Russia, Fiction, Historical-Historical Fiction, Literature",0
658,"Classics, Nonfiction, Philosophy, Religion, Religion-Christianity, Religion-Theology, Spirituality",0
662,"Classics, Literature, Philosophy, Politics, Science Fiction, Science Fiction-Dystopia",1
665,"Nonfiction, Philosophy, Politics, Psychology",0
667,"Classics, Fiction, Philosophy, Science Fiction, Science Fiction-Dystopia",1
668,"Classics, Fiction, Historical-Historical Fiction, Literature, Philosophy",0
669,"Business, Economics, Nonfiction, Philosophy, Politics",0
676,"Nonfiction, Poetry",0
682,"Health, Medical, Nonfiction",0
685,"Classics, Fiction, Literature, Novels, Sports-Baseball, Sports-Sports",0
698,"Contemporary, Fiction, Parenting-Adoption",1
703,"Fiction, Historical-Historical Fiction, Literary Fiction, Literature, Literature-American, Literature-Jewish, Novels, Politics, Science Fiction, Science Fiction-Alternate History",1
706,"Adult, Audiobook, Culture-Pop Culture, History, Humor, Humor-Comedy, Literature-American, Nonfiction, North American Hi...-American History, Politics",1
760,"Classics, Cultural-Latin American, European Literature-Spanish Literature, Fiction, Literature, Literature-Latin American Literature, Magical Realism, Nobel Prize, Novels, Romance",1
771,"Nonfiction, Philosophy, Philosophy-Theory, Science, Science-Astronomy, Science-Mathematics, Science-Physics, Science-Popular Science, Space, Unfinished",1
816,"Fantasy, Fiction, Historical, Historical-Historical Fiction, Novels, Science Fiction, Science Fiction Fantasy, Science Fiction-Cyberpunk, Thriller, War",1
822,"Fantasy, Fiction, Historical, Historical-Historical Fiction, Science Fiction",0
823,"Fantasy, Fiction, Historical, Historical-Historical Fiction, Science Fiction",1
827,"Audiobook, Fantasy, Fiction, Novels, Science Fiction, Science Fiction Fantasy, Science Fiction-Cyberpunk, Science Fiction-Dystopia, Science Fiction-Steampunk, Speculative Fiction",1
835,"Nonfiction, Sports and Games-Games, Sports-Sports",0
840,"Business, Design, Nonfiction, Psychology",0
868,"Fantasy, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga",0
870,"Fantasy, Fiction, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga",0
871,"Fantasy, Fiction, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga",0
873,"Fantasy, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga",0
