genre,votes
European Literature Ukrainian Literature,53
Fairies Fae,20964
Fairy Tales Beauty and The Beast,1237
Fairy Tales Cinderella,208
Fairy Tales Fairy Tale Retellings,1119
Fairy Tales Princesses,62
Family,10860
Family Law Divorce,69
Family Law Fostering,178
Fan Fiction,595
Fantasy,7255484
Fantasy Comic Fantasy,280
Fantasy Dark Fantasy,3915
Fantasy Dragons,56515
Fantasy Epic Fantasy,63133
Fantasy Fairy Tales,48034
Fantasy Heroic Fantasy,412
Fantasy High Fantasy,47414
Fantasy Magic,192385
Fantasy Mythology,142536
Fantasy Paranormal,877256
Fantasy Supernatural,54693
Fantasy Unicorns,470
Fantasy Urban Fantasy,526345
Fantasy Weird Fiction,1070
Fat Fat Acceptance,32
Fat Fat Studies,11
Favorites,5
Female Authors,60
Feminism,83724
Feminism Womens Studies,151
Fiction,6966470
Finance Personal Finance,2898
Folk Tales,63
Folk Tales Fables,324
Folklore,709
Folklore Monsters,321
Food and Drink,170
Food and Drink Cookbooks,15341
Food and Drink Cooking,8409
Food and Drink Cuisine,6
Food and Drink Culinary,100
Food and Drink Diets,231
Food and Drink Food,30434
Food and Drink Food Writing,185
Food and Drink Foodie,485
Food and Drink Gastronomy,4
Food and Drink Tea,167
Food and Drink Vegan,577
Food and Drink Vegetarian,9
Football,2130
Futurism,271
Futuristic,2002
GLBT Lesbian,4011
GLBT Queer,19918
GLBT Queer Studies,2
Gamebooks Choose Your Own Adventure,72
Games Chess,1475
Games Game Design,219
Games Gamebooks,7
Games Gaming,497
Games Go,36
Games Role Playing Games,322
Games Video Games,959
Gardening,1259
Gardening Horticulture,2
Gay Gay Fiction,120
Gay Romance Gay For You,628
Gender,2886
Gender Gender Studies,560
Gender and Sexuality,2
Geography Cartography,3
Geography Cities,298
Geology Palaeontology,172
German History Nazi Party,3
Gothic,33283
Gothic Gothic Romance,196
Gothic Southern Gothic,1905
Graphic Novels Comics,31928
Graphic Novels Manga,78
Harlequin Harlequin Blaze,25
Harlequin Harlequin Desire,27
Harlequin Harlequin Heartwarming,27
Harlequin Harlequin Historical,6
Harlequin Harlequin Nocturne,3
Harlequin Harlequin Presents,2
Harlequin Harlequin Romance,2
Harlequin Hqn,3
Health,18018
Health Fat,27
Health Health Care,18
Health Illness,33
Health Medicine,12637
Health Mental Health,22577
Health Nutrition,2483
Heroic Fantasy Sword and Sorcery,998
Historical,406882
Historical Fiction Historical Fantasy,1963
Historical Fiction Naval Historical Fiction,4
Historical Fiction Prehistoric,509
Historical Georgian,324
Historical Historical Fiction,1678255
Historical Medieval,11241
Historical Plantagenet,71
Historical Regency,22049
Historical Romance Medieval Romance,524
Historical Romance Regency Romance,3778
Historical Romance Victorian Romance,5
Historical Romance Western Historical Romance,30
Historical Stuart,3
Historical Victorian,3874
History,575035
History Ancient History,2038
History Archaeology,320
History European History,1173
History Food History,16
History Japanese History,21
History Latin American History,2
History Medieval History,253
History Microhistory,161
History Oral History,24
History Prehistory,20
History Russian History,717
History World History,1655
History and Politics,6
Holiday,3360
Holiday Christmas,27864
Holiday Halloween,1573
Horror,779106
Horror Bizarro Fiction,245
Horror Erotic Horror,5
Horror Ghost Stories,426
Horror Gothic Horror,27
Horror Lovecraftian,779
Horror Splatterpunk,160
Horror Victor Frankenstein,49
Horror Zombies,49743
How To,217
Hugo Awards,731
Humanities,2
Humanities Classical Studies,10
Humanities Language,5375
Humanities Linguistics,2954
Humor,317266
Humor Comedian,79
Humor Comedy,28645
Humor Jokes,16
Illness Disease,146
Inspirational,9086
International Dev... Human Development,71
International Rel... International Development,87
Islam Muslimah,2
Jewellery,5
Judaism Judaica,75
Kids,2088
LGBT,152447
LGBT Asexual,61
LGBT Bisexual,8
LGBT Gay,3420
LGBT Genderqueer,54
LGBT Transgender,464
Labor,47
Language Communication,2066
Language Writing,37759
Law,2319
Lds Lds Fiction,2545
Lds Lds Non Fiction,65
