book_id,author_id,author
3750,37901,Ian Fleming
3757,37901,Ian Fleming
3758,37901,Ian Fleming
3759,37901,Ian Fleming
3760,37901,Ian Fleming
3762,37901,Ian Fleming
3763,37901,Ian Fleming
3764,37901,Ian Fleming
3783,46617,Noel Streatfeild
3788,46617,Noel Streatfeild
3789,46617,Noel Streatfeild
3805,37336,Jonathan Franzen
3830,36580,P.D. James
3832,36580,P.D. James
3833,36580,P.D. James
3867,37335,Nicole Krauss
3869,38038,Stephen Hawking
3872,42201,Tom Standage
3873,40596,Karen Armstrong
3876,37237,Ernest Hemingway
3943,36839,Dan Simmons
3972,36839,Dan Simmons
3973,36839,Dan Simmons
3974,36839,Dan Simmons
3977,36839,Dan Simmons
3978,36839,Dan Simmons
3979,36839,Dan Simmons
3980,37393,E.L. Konigsburg
3985,37340,Michael Chabon
4009,37260,J.D. Salinger
4031,37904,Bret Easton Ellis
4035,37997,Scott Turow
4042,37852,Ann Coulter
4136,36924,David Sedaris
4137,36924,David Sedaris
4138,36924,David Sedaris
4143,36924,David Sedaris
4191,37987,James Ellroy
4214,37163,Yann Martel
4264,37903,Nick Hornby
4268,37903,Nick Hornby
4271,37903,Nick Hornby
4325,36711,Sarah Dessen
4339,41687,Michael Herr
4373,38943,Loung Ung
4390,37144,Gabriel García Márquez
4392,37144,Gabriel García Márquez
4395,37227,John Steinbeck
4406,37227,John Steinbeck
4451,42134,M. Scott Peck
4473,37352,John Irving
4485,48558,Sven Regener
4488,36633,Helen Fielding
4515,37149,Carlos Ruiz Zafón
4516,37149,Carlos Ruiz Zafón
4530,36633,Helen Fielding
4538,37393,E.L. Konigsburg
4588,37165,Jonathan Safran Foer
4591,39897,Matt Ridley
4605,39282,Jane Smiley
4630,37237,Ernest Hemingway
4631,37237,Ernest Hemingway
4633,37237,Ernest Hemingway
4645,37237,Ernest Hemingway
4648,37237,Ernest Hemingway
4652,37237,Ernest Hemingway
4656,37352,John Irving
4659,37352,John Irving
4660,37352,John Irving
4685,37997,Scott Turow
4687,37352,John Irving
4692,41390,Noah Gordon
4701,37253,Mark Haddon
4708,37265,F. Scott Fitzgerald
4799,37227,John Steinbeck
4820,37619,Nathaniel Philbrick
4830,37124,Salman Rushdie
4831,37124,Salman Rushdie
4855,45632,Arnold Bennett
4865,38496,Dale Carnegie
4866,38496,Dale Carnegie
4868,38496,Dale Carnegie
4909,37626,Frank McCourt
4912,37626,Frank McCourt
4921,38442,Jerome K. Jerome
4948,38113,Eric Carle
4950,39461,Amitav Ghosh
4952,37327,Dave Eggers
4953,37327,Dave Eggers
4954,37327,Dave Eggers
4965,36926,Geraldine Brooks
4989,37378,Anita Diamant
5015,37269,Ian McEwan
5036,37498,Terry Goodkind
5038,37498,Terry Goodkind
5043,36623,Ken Follett
5053,36623,Ken Follett
5055,36623,Ken Follett
5058,36623,Ken Follett
5062,36623,Ken Follett
5064,36623,Ken Follett
5092,36556,Stephen King
5094,36556,Stephen King
5107,37260,J.D. Salinger
5113,37260,J.D. Salinger
5114,37260,J.D. Salinger
5128,36483,Aldous Huxley
5129,36483,Aldous Huxley
5130,36483,Aldous Huxley
5131,36483,Aldous Huxley
5135,36483,Aldous Huxley
5136,36483,Aldous Huxley
5137,47066,Elspeth Huxley
5139,36892,Lauren Weisberger
5157,40284,Anna Quindlen
5158,40846,Kaye Gibbons
5159,37126,Alice Hoffman
5161,41243,Jacquelyn Mitchard
5162,36916,Wally Lamb
5166,36886,Chris Bohjalian
5167,39456,Lalita Tademy
5168,38043,Billie Letts
5171,40506,Christina Schwarz
5174,40743,Ann-Marie MacDonald
5179,42056,Melinda Haynes
5180,40843,Sheri Reynolds
5181,42067,Bret Lott
5186,42076,Edwidge Danticat
5187,42090,Jane Hamilton
5190,42087,Elizabeth Berg
5191,37832,Anita Shreve
5196,37891,Maeve Binchy
5197,40850,Ernest J. Gaines
5198,36899,Toni Morrison
5203,36916,Wally Lamb
5204,39747,Joyce Carol Oates
5211,38447,Rohinton Mistry
5240,41867,Dinesh D'Souza
5246,38089,Edith Wharton
5294,41887,Richard Ellmann
5296,37388,Oscar Wilde
5306,37227,John Steinbeck
5308,37227,John Steinbeck
5309,40081,Don Rosa
5342,37216,Charles Dickens
5344,37216,Charles Dickens
5345,37993,John Grisham
5346,37993,John Grisham
5347,37993,John Grisham
5349,37993,John Grisham
5350,37993,John Grisham
5351,37993,John Grisham
5352,37993,John Grisham
5354,37993,John Grisham
5355,37993,John Grisham
5356,37993,John Grisham
5357,37993,John Grisham
5359,37993,John Grisham
5360,37993,John Grisham
5364,37233,Diana Gabaldon
5367,37506,Roger Zelazny
5368,37356,Kathleen Winsor
5369,46299,Steve Berry
5400,41699,James D. Hornfischer
5404,39959,Roland H. Bainton
5417,36556,Stephen King
5439,36927,Jhumpa Lahiri
5451,37395,Ann Brashares
5452,37395,Ann Brashares
5453,37395,Ann Brashares
5454,37395,Ann Brashares
5488,38699,Naguib Mahfouz
5526,36658,Nicholas Sparks
5527,40854,Robert Penn Warren
5575,36600,James Patterson
5752,39890,Steven Pinker
5755,39890,Steven Pinker
5826,37342,Ann Patchett
5845,39485,V.S. Naipaul
5848,39485,V.S. Naipaul
5849,39485,V.S. Naipaul
5853,39485,V.S. Naipaul
5854,39485,V.S. Naipaul
5872,39749,Pat Barker
5877,39749,Pat Barker
5907,36618,J.R.R. Tolkien
5937,37422,Pablo Neruda
5941,37373,Michael Ondaatje
5942,37373,Michael Ondaatje
5946,37373,Michael Ondaatje
5947,37373,Michael Ondaatje
5949,37373,Michael Ondaatje
6058,37381,Erich Maria Remarque
6149,36899,Toni Morrison
6150,41840,Alan Paton
6159,37391,Sherman Alexie
6163,36615,Cormac McCarthy
6176,37610,Primo Levi
6192,39752,J.M. Coetzee
6194,39752,J.M. Coetzee
6201,39752,J.M. Coetzee
6259,41711,Sebastian Faulks
6288,36615,Cormac McCarthy
6291,37875,R.A. Salvatore
6294,37080,Diana Wynne Jones
6330,37058,Roald Dahl
6334,36593,Kazuo Ishiguro
6372,39977,Josh McDowell
6418,36599,Janet Evanovich
6419,36599,Janet Evanovich
6420,36599,Janet Evanovich
6422,36599,Janet Evanovich
6423,36599,Janet Evanovich
6424,36599,Janet Evanovich
6426,36599,Janet Evanovich
6427,36599,Janet Evanovich
6462,40792,Joseph J. Ellis
6514,36609,Sylvia Plath
6520,37720,James Frey
6531,37831,Patricia Cornwell
6537,37831,Patricia Cornwell
6538,37831,Patricia Cornwell
6539,37831,Patricia Cornwell
6588,36600,James Patterson
6596,42135,Miguel Ruiz
6628,36558,Jasper Fforde
6657,40822,Karen Kingsbury
6671,37058,Roald Dahl
6691,37058,Roald Dahl
6697,38045,Rebecca Wells
6708,38580,Eckhart Tolle
6709,38580,Eckhart Tolle
6716,38580,Eckhart Tolle
6748,38041,David Foster Wallace
6749,38041,David Foster Wallace
6750,38041,David Foster Wallace
6751,38041,David Foster Wallace
6753,38041,David Foster Wallace
6759,38041,David Foster Wallace
6819,37338,David Mitchell
6820,37338,David Mitchell
6835,39718,Lisi Harrison
6851,40610,Jean Sasson
6853,36599,Janet Evanovich
6854,36599,Janet Evanovich
6856,36599,Janet Evanovich
6858,36599,Janet Evanovich
6862,37269,Ian McEwan
6867,37269,Ian McEwan
6868,37269,Ian McEwan
6869,37269,Ian McEwan
6870,37269,Ian McEwan
6871,37269,Ian McEwan
6872,37269,Ian McEwan
6882,40693,Henri Charrière
6900,36617,Mitch Albom
6976,37230,Sue Monk Kidd
6981,37230,Sue Monk Kidd
7021,40256,Kathryn Lasky
7022,40256,Kathryn Lasky
7024,40256,Kathryn Lasky
7025,40256,Kathryn Lasky
7026,40256,Kathryn Lasky
7027,40256,Kathryn Lasky
7028,40256,Kathryn Lasky
7029,40256,Kathryn Lasky
7035,36903,Alexander McCall Smith
7053,36903,Alexander McCall Smith
7061,36903,Alexander McCall Smith
7069,37352,John Irving
7073,37352,John Irving
7081,37740,John Scalzi
7101,44354,John Dos Passos
7105,44354,John Dos Passos
7190,37375,Alexandre Dumas
7199,40743,Ann-Marie MacDonald
7201,37415,Jeffrey Archer
7214,39983,Donald Miller
7244,37225,Barbara Kingsolver
7354,37835,Annie Proulx
7432,37302,Jacqueline Winspear
7442,37413,Tom Wolfe
7445,36954,Jeannette Walls
7455,37850,Candace Bushnell
7479,41711,Sebastian Faulks
7482,41711,Sebastian Faulks
7493,40792,Joseph J. Ellis
7494,36600,James Patterson
7530,41498,Laurie Notaro
7531,41498,Laurie Notaro
7572,37154,Tom Robbins
7603,38050,Azar Nafisi
7624,37262,William Golding
7661,37482,Michael Crichton
7667,37482,Michael Crichton
7668,37482,Michael Crichton
7669,37482,Michael Crichton
7670,37482,Michael Crichton
7672,37482,Michael Crichton
7673,37482,Michael Crichton
7675,37482,Michael Crichton
7679,37482,Michael Crichton
7682,37482,Michael Crichton
7695,46219,Annie Dillard
7714,43565,George Bernard Shaw
7742,48032,Sena Jeter Naslund
7748,37438,Hunter S. Thompson
7763,36611,Amy Tan
7769,37386,Dr. Seuss
7770,37386,Dr. Seuss
7772,37386,Dr. Seuss
7779,37386,Dr. Seuss
7781,37386,Dr. Seuss
7784,37386,Dr. Seuss
7785,37386,Dr. Seuss
7805,37384,Vladimir Nabokov
7809,39748,T. Coraghessan Boyle
7815,37719,Joan Didion
7869,37500,Robert Ludlum
7926,43182,Sydney Taylor
7955,37231,Orson Scott Card
7956,37231,Orson Scott Card
7957,37231,Orson Scott Card
7958,37231,Orson Scott Card
7962,37231,Orson Scott Card
7964,37231,Orson Scott Card
7966,37231,Orson Scott Card
7967,37231,Orson Scott Card
7968,37231,Orson Scott Card
7971,37231,Orson Scott Card
7973,37231,Orson Scott Card
7979,37064,Brian Jacques
7980,37064,Brian Jacques
7987,37064,Brian Jacques
7994,37064,Brian Jacques
7996,37064,Brian Jacques
7998,37064,Brian Jacques
7999,37064,Brian Jacques
8086,36873,Robin McKinley
8087,36873,Robin McKinley
8088,36873,Robin McKinley
8089,36873,Robin McKinley
8091,36873,Robin McKinley
8127,37397,L.M. Montgomery
8146,37384,Vladimir Nabokov
8151,37384,Vladimir Nabokov
8155,42159,Barbara Taylor Bradford
8164,42159,Barbara Taylor Bradford
8492,39971,Frank E. Peretti
8600,37721,Lynne Truss
8647,37231,Orson Scott Card
8650,37482,Michael Crichton
8675,37154,Tom Robbins
8680,37154,Tom Robbins
8682,37154,Tom Robbins
8694,36610,Douglas Adams
8695,36610,Douglas Adams
8714,37847,Al Gore
8715,37349,Gore Vidal
8716,37349,Gore Vidal
8718,37349,Gore Vidal
8719,37349,Gore Vidal
8722,37349,Gore Vidal
8725,40604,Ruth Reichl
8732,37227,John Steinbeck
8741,37973,Val McDermid
8765,48191,Nora Ephron
8809,37213,Anthony Burgess
8822,37213,Anthony Burgess
8824,37213,Anthony Burgess
8826,44348,Ben Elton
8830,44348,Ben Elton
8842,37255,Antoine de Saint-Exupéry
8852,37256,William Shakespeare
8862,45998,James Shapiro
8908,36591,Max Brooks
8948,37496,Darren Shan
8949,37496,Darren Shan
8951,37496,Darren Shan
8952,37496,Darren Shan
8953,39267,Rodman Philbrick
8957,37496,Darren Shan
8960,37496,Darren Shan
8962,37496,Darren Shan
8963,37496,Darren Shan
8965,37496,Darren Shan
8966,37496,Darren Shan
8967,37496,Darren Shan
8968,37496,Darren Shan
9006,45544,David Rakoff
9010,40324,Tucker Max
9263,42567,Henry Miller
9298,38785,Marian Keyes
9300,38785,Marian Keyes
9301,38785,Marian Keyes
9302,38785,Marian Keyes
9355,37352,John Irving
9370,37154,Tom Robbins
9375,37367,Fannie Flagg
9416,36644,Sophie Kinsella
9417,36644,Sophie Kinsella
9418,36644,Sophie Kinsella
9419,36644,Sophie Kinsella
9420,36644,Sophie Kinsella
9475,37067,Jenny Nimmo
9487,40822,Karen Kingsbury
9503,36611,Amy Tan
9522,36983,Marjane Satrapi
9530,38466,Robert Kurson
9532,37231,Orson Scott Card
9533,37305,Matthew Pearl
9534,37231,Orson Scott Card
9538,36647,Julie Garwood
9539,37061,Robert Jordan
9551,39981,Elisabeth Elliot
9566,37154,Tom Robbins
9567,37154,Tom Robbins
9569,37154,Tom Robbins
9570,37154,Tom Robbins
9619,36563,Ray Bradbury
9620,36563,Ray Bradbury
9634,36563,Ray Bradbury
9640,37258,George Orwell
9648,37258,George Orwell
9650,37258,George Orwell
9654,37401,Erica Jong
9677,37401,Erica Jong
9681,37401,Erica Jong
9701,44042,Diana Abu-Jaber
9742,37326,Barack Obama
9764,43668,Celeste De Blasis
9771,39016,Arundhati Roy
9777,39016,Arundhati Roy
9784,38032,D.H. Lawrence
9791,37724,Bill Bryson
9799,39745,Jonathan Lethem
9822,37709,Robert C. O'Brien
9824,42216,Robert Sullivan
9827,37359,James Clavell
9844,36908,Curtis Sittenfeld
9864,37124,Salman Rushdie
9865,37124,Salman Rushdie
9868,37124,Salman Rushdie
9903,42655,Denis Johnson
9912,37904,Bret Easton Ellis
9913,37904,Bret Easton Ellis
9914,37904,Bret Easton Ellis
9915,37904,Bret Easton Ellis
9919,37861,Truman Capote
9922,37861,Truman Capote
9924,37861,Truman Capote
9943,38093,Francine Rivers
9957,37269,Ian McEwan
10006,42727,Paul Auster
10008,44499,Douglas Coupland
10031,40242,Jean-Paul Sartre
10034,40242,Jean-Paul Sartre
10055,42790,Deborah Spungen
10073,37903,Nick Hornby
10079,38962,Antonia Fraser
10084,37696,Tad Williams
10090,37696,Tad Williams
10092,37696,Tad Williams
10104,36894,Alison Weir
10106,36894,Alison Weir
10108,40018,Margaret George
10109,36894,Alison Weir
10114,40018,Margaret George
10115,40018,Margaret George
10155,37512,Arthur Conan Doyle
10176,36924,David Sedaris
10218,37350,M.M. Kaye
10222,37350,M.M. Kaye
10235,38946,Tracy Kidder
10238,39883,Fritjof Capra
10302,37420,Barbara W. Tuchman
10305,37285,Laurie R. King
10336,40591,Julie Andrews Edwards
10365,37712,Wilson Rawls
10372,37712,Wilson Rawls
10441,36626,Kim Edwards
10457,46617,Noel Streatfeild
10506,37283,Umberto Eco
10518,37283,Umberto Eco
10566,36556,Stephen King
10567,36556,Stephen King
10569,36556,Stephen King
10572,36861,George R.R. Martin
10574,36556,Stephen King
10579,36556,Stephen King
10584,36556,Stephen King
10588,36556,Stephen King
10589,36556,Stephen King
10592,36556,Stephen King
10603,36556,Stephen King
10611,36556,Stephen King
10614,36556,Stephen King
10618,36556,Stephen King
10619,36556,Stephen King
10669,42994,Roger Lowenstein
10711,37385,Joseph Heller
10718,37385,Joseph Heller
10739,40849,Walker Percy
10775,37237,Ernest Hemingway
10778,37237,Ernest Hemingway
10799,37237,Ernest Hemingway
10801,37411,Wallace Stegner
10847,37625,Jon Krakauer
10867,38945,Steve Martin
10873,38945,Steve Martin
10882,37438,Hunter S. Thompson
10883,38949,Walter Isaacson
10884,38949,Walter Isaacson
10890,38478,Anne Lamott
10907,38569,Chris Gardner
10908,36603,Jodi Picoult
10909,36603,Jodi Picoult
10910,36603,Jodi Picoult
10911,36603,Jodi Picoult
10912,36603,Jodi Picoult
10913,36603,Jodi Picoult
10915,36603,Jodi Picoult
10916,36603,Jodi Picoult
10917,36603,Jodi Picoult
10920,37376,Charles Frazier
10929,36617,Mitch Albom
10956,37343,Jeffrey Eugenides
10964,37233,Diana Gabaldon
10965,37233,Diana Gabaldon
10975,37857,William Faulkner
10978,37857,William Faulkner
10979,37857,William Faulkner
10987,37233,Diana Gabaldon
10989,37233,Diana Gabaldon
10990,37233,Diana Gabaldon
11003,36599,Janet Evanovich
11013,37854,James Joyce
