book_id,listegenre
435,"Fiction, Literature, Literature-20th Century, Literature-American, Mystery, Novels"
446,"Contemporary, Fiction, Literature, Literature-American, New York, Novels"
447,"Contemporary, Fiction, Literature-American"
449,"Animals, Animals-Dogs, Fiction"
454,"Fiction, Literature, Literature-American, Mystery, Novels"
456,"Fiction, Literature, Literature-American, Novels, The United States Of America"
463,"Anthologies-Collections, Autobiography-Memoir, Biography-Autobiography, Contemporary, Literature, Literature-American, Nonfiction, Short Stories, The United States Of America, Writing-Essays"
475,"Anthropology, Culture-Society, Economics, Environment, History, Nonfiction, Politics, Science, Social Science, Sociology"
477,"Anthropology, Economics, History, Nonfiction, Politics, Science, Sociology"
493,"Biography, Biography-Autobiography, History, Nonfiction, Science"
509,"Drama, LGBT, Plays"
597,"Autobiography-Memoir, Biography, Contemporary, Culture-Pop Culture, Humor, Music, Nonfiction, Suspense, Travel, Writing-Essays"
599,"Culture-Pop Culture, Humor, Music, Nonfiction, Writing-Essays"
629,"Classics, Fiction, Literature, Philosophy, Psychology, Religion, Self Help, Spirituality, Travel, Unfinished"
647,"Business, Economics, Nonfiction, Politics, Sociology"
654,"Anthologies, Classics, Classics-Classic Literature, Cultural-Russia, Fiction, Literary Fiction, Literature, Literature-19th Century, Literature-Russian Literature, Short Stories"
655,"Classics, Cultural-Russia, Fiction, Literature, Literature-Russian Literature, Short Stories"
656,"Classics, Cultural-Russia, Fiction, Historical-Historical Fiction, Literature"
658,"Classics, Nonfiction, Philosophy, Religion, Religion-Christianity, Religion-Theology, Spirituality"
662,"Classics, Literature, Philosophy, Politics, Science Fiction, Science Fiction-Dystopia"
665,"Nonfiction, Philosophy, Politics, Psychology"
667,"Classics, Fiction, Philosophy, Science Fiction, Science Fiction-Dystopia"
668,"Classics, Fiction, Historical-Historical Fiction, Literature, Philosophy"
669,"Business, Economics, Nonfiction, Philosophy, Politics"
676,"Nonfiction, Poetry"
682,"Health, Medical, Nonfiction"
685,"Classics, Fiction, Literature, Novels, Sports-Baseball, Sports-Sports"
698,"Contemporary, Fiction, Parenting-Adoption"
703,"Fiction, Historical-Historical Fiction, Literary Fiction, Literature, Literature-American, Literature-Jewish, Novels, Politics, Science Fiction, Science Fiction-Alternate History"
706,"Adult, Audiobook, Culture-Pop Culture, History, Humor, Humor-Comedy, Literature-American, Nonfiction, North American Hi...-American History, Politics"
760,"Classics, Cultural-Latin American, European Literature-Spanish Literature, Fiction, Literature, Literature-Latin American Literature, Magical Realism, Nobel Prize, Novels, Romance"
771,"Nonfiction, Philosophy, Philosophy-Theory, Science, Science-Astronomy, Science-Mathematics, Science-Physics, Science-Popular Science, Space, Unfinished"
816,"Fantasy, Fiction, Historical, Historical-Historical Fiction, Novels, Science Fiction, Science Fiction Fantasy, Science Fiction-Cyberpunk, Thriller, War"
822,"Fantasy, Fiction, Historical, Historical-Historical Fiction, Science Fiction"
823,"Fantasy, Fiction, Historical, Historical-Historical Fiction, Science Fiction"
827,"Audiobook, Fantasy, Fiction, Novels, Science Fiction, Science Fiction Fantasy, Science Fiction-Cyberpunk, Science Fiction-Dystopia, Science Fiction-Steampunk, Speculative Fiction"
835,"Nonfiction, Sports and Games-Games, Sports-Sports"
840,"Business, Design, Nonfiction, Psychology"
868,"Fantasy, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga"
870,"Fantasy, Fiction, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga"
871,"Fantasy, Fiction, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga"
873,"Fantasy, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga"
880,"Cultural-Italy, Fiction, Historical, Historical-Historical Fiction, Thriller"
890,"Academic-School, Classics, Fiction, Historical-Historical Fiction, Literature"
900,"Autobiography-Memoir, Biography, Nonfiction, Psychology, Relationships, Self Help"
902,"Childrens, Childrens-Middle Grade, Classics, Fiction, Mystery, Young Adult"
903,"Childrens, Childrens-Middle Grade, Fiction, Mystery, Young Adult"
905,"Nonfiction, Psychology, Self Help, Sports-Sports"
925,"Fiction, Mystery, Mystery-Crime, Thriller"
929,"Adult, Classics, Contemporary, Cultural-Asia, Cultural-Japan, Fiction, Historical, Historical-Historical Fiction, Novels, Romance"
960,"Fiction, Mystery, Suspense, Thriller"
968,"Fiction, Mystery, Thriller"
976,"Action, Adventure, Fiction, Mystery, Mystery-Crime, Novels, Science Fiction, Suspense, Thriller, Thriller-Mystery Thriller"
998,"Audiobook, Business, Currency-Money, Economics, Economics-Finance, Finance-Personal Finance, Nonfiction, Psychology, Self Help, Self Help-Personal Development"
1031,"Biography, Business, Economics-Finance, Nonfiction, Self Help"
1032,"Biography, Business, Nonfiction, Politics"
1035,"Business, Economics-Finance, Nonfiction, Self Help"
1052,"Business, Classics, Currency-Money, Economics, Economics-Finance, Finance-Personal Finance, Nonfiction, Philosophy, Self Help, Self Help-Personal Development"
1059,"Fiction, Mystery, Spy Thriller-Espionage, Thriller, Thriller-Mystery Thriller"
1067,"Historical, History, Military History-American Revolution, Nonfiction, North American Hi...-American History"
1078,"Academic-School, Classics, Classics-Classic Literature, Cultural-Asia, Cultural-China, Fiction, Historical, Historical-Historical Fiction, Literature, Novels"
1097,"Food and Drink-Food, Health, Nonfiction, Politics, Sociology"
1110,"Fiction, Mystery, Thriller"
1111,"Biography, Biography Memoir, Business, Cities-Urban Planning, Geography-Cities, History, New York, Nonfiction, North American Hi...-American History, Politics"
1171,"Business, Economics-Finance, Nonfiction"
1202,"Audiobook, Business, Economics, Economics-Finance, Nonfiction, Politics, Psychology, Science, Social Science, Sociology"
1232,"Fantasy, Fiction, Historical-Historical Fiction, Mystery, Writing-Books About Books"
1241,"Adult, Adult Fiction, Biography Memoir, Book Club, Contemporary, Drama, Fiction, Health-Mental Health, Novels, Psychology"
1274,"Language-Communication, Marriage, Nonfiction, Philosophy, Psychology, Relationships, Romance, Self Help, Self Help-Personal Development, Unfinished"
1300,"Nonfiction, Sports-Baseball, Sports-Sports"
1301,"Audiobook, Biography, Business, Economics, Economics-Finance, History, Nonfiction, Science, Sports-Baseball, Sports-Sports"
1303,"Business, Business-Management, History, Leadership, Nonfiction, Philosophy, Politics, Psychology, Self Help, Self Help-Personal Development"
1305,"Cultural-Greece, Fantasy, Fiction, Historical, Historical-Historical Fiction, History-Ancient History, Literature, Novels, War, War-Military Fiction"
1307,"Fantasy, Fantasy-Epic Fantasy, Fantasy-High Fantasy, Fiction, Science Fiction Fantasy"
1316,"Cultural-Greece, Fiction, Historical, Historical-Historical Fiction, History-Ancient History, Literature, Military-Military History, Novels, War, War-Military Fiction"
1317,"Fiction, Historical-Historical Fiction, War, War-Military Fiction"
1318,"Audiobook, Cultural-Greece, Fantasy, Fantasy-Mythology, Fiction, Historical, Historical-Historical Fiction, Literature-Ancient, War, War-Military Fiction"
1319,"Art, Business, Language-Writing, Nonfiction, Self Help"
1354,"Academic-School, Classics, Cultural-Greece, History, History-Ancient History, Literature, Literature-Ancient, Nonfiction, Philosophy, Politics"
1362,"Classics, History, History-Ancient History, Nonfiction"
1371,"Academic-School, Classics, Epic, Fantasy, Fantasy-Mythology, Fiction, Historical-Historical Fiction, Literature, Poetry, War"
1375,"Classics, Fantasy-Mythology, Fiction, Poetry"
1381,"Classics, Fantasy, Fantasy-Mythology, Fiction, Poetry"
1414,"Classics, Drama, Fiction, Plays, Poetry"
1420,"Academic-School, Classics, Drama, Fiction, Plays"
1423,"Classics, Drama, Fiction, Humor, Plays, Plays-Theatre"
1426,"Fiction, Philosophy, Spirituality"
1427,"Fiction, Novels, Philosophy"
1428,"Contemporary, Fiction, Inspirational, Literature, Love, Novels, Philosophy, Religion, Romance, Spirituality"
1429,"Fiction, Historical-Historical Fiction, Novels"
1430,"Adult, Contemporary, Cultural-Brazil, Drama, Fiction, Literature, Novels, Philosophy, Romance, Spirituality"
1431,"Contemporary, Fiction, Novels, Philosophy"
1467,"Classics, Drama, Fantasy-Mythology, Literature, Plays"
1473,"Classics, Drama, Fantasy-Mythology, Fiction, Plays"
1496,"Classics, Drama, Fantasy-Mythology, Fiction, Literature-Ancient, Plays, Plays-Theatre"
1519,"Academic-School, Classics, Drama, Fantasy-Mythology, Fiction, Literature, Literature-Ancient, Plays, Plays-Theatre, Poetry"
1524,"Classics, Drama, Fantasy-Mythology, Fiction, Plays, Plays-Theatre"
1538,"Classics, Drama, Fiction, Plays"
1540,"Classics, Drama, Fantasy-Mythology, Fiction, Plays"
1554,"Academic-School, Classics, Drama, Fiction, Plays"
1562,"Classics, Drama, Fantasy-Mythology, Fiction, Humor, Humor-Comedy, Literature, Literature-Ancient, Plays, Poetry"
1567,"Classics, Drama, Fiction, Plays"
1591,"Classics, Drama, Fiction, Plays, Plays-Theatre"
1617,"Autobiography-Memoir, Biography, Classics, History, Nonfiction, World War II-Holocaust"
1618,"Contemporary, Fiction, Mystery, Young Adult"
1622,"Classics, Drama, Fantasy, Fiction, Plays"
1624,"Autobiography-Memoir, Biography, Cultural-Africa, Nonfiction, Travel"
1625,"Classics, Drama, Fiction, Plays"
1627,"Fiction, GLBT-Queer, LGBT, Romance, Romance-M M Romance, Short Stories"
1633,"Audiobook, Business, Business-Management, Leadership, Nonfiction, Productivity, Psychology, Reference, Self Help, Self Help-Personal Development"
1663,"Cultural-Israel, Historical, History, Religion-Judaism, War"
1677,"Classics, Cultural-Latin American, Fiction"
1715,"Classics, Fantasy-Mythology, Fiction, Poetry"
1814,"Cultural, History, Nonfiction, Occult, Philosophy, Philosophy-Metaphysics, Reference, Religion, Spirituality, Spirituality-New Age"
1815,"Nonfiction, Philosophy, Science, Spirituality"
1842,"Anthropology, Economics, Historical, History, History-World History, Nonfiction, Politics, Science, Science-Geography, Sociology"
1845,"Academic-School, Adventure, Adventure-Survival, Autobiography-Memoir, Biography, Biography Memoir, Classics, Environment-Nature, Nonfiction, Travel"
1846,"Christian, Christian-Christian Living, Christian-Christian Non Fiction, Nonfiction, Religion, Religion-Christianity, Religion-Faith, Religion-Theology, Self Help, Spirituality"
1848,"Autobiography-Memoir, Biography, Cultural-Asia, Cultural-China, History, Nonfiction"
1849,"Fiction, Mystery, Suspense, Thriller"
1852,"Academic-School, Adventure, Animals, Childrens, Classics, Fiction, Historical-Historical Fiction, Literature, Novels, Young Adult"
1869,"Autobiography-Memoir, Economics, Nonfiction, Politics, Sociology"
1875,"Academic, Cultural-France, GLBT-Queer, History, Nonfiction, Philosophy, Philosophy-Theory, Psychology, Sexuality, Sociology"
1876,"History, Nonfiction, Philosophy, Philosophy-Theory, Sexuality, Sociology"
1878,"History, Nonfiction, Philosophy, Philosophy-Theory, Sexuality, Sociology"
