user_id,book_id
6,10
21,10
29,10
54,10
6,33
8,33
21,33
29,33
42,33
62,2880
57,5297
53,6185
3,10210
1,11588
34,11588
22,17245
41,18116
61,29044
49,31862
30,32508
22,33507
50,54077
22,54479
31,58962
23,71299
18,77998
63,77998
59,99561
6,113436
47,113436
62,191292
36,283489
26,315234
40,400924
44,596834
55,688972
33,822185
16,830502
14,969275
28,969275
11,1111741
3,1151331
57,2099048
63,2767052
43,4703450
55,4904977
30,6043781
42,6043781
14,6186357
51,6186357
8,6351885
45,6536261
34,7327301
40,9814682
52,9814682
9,9965332
54,10433091
68,10818853
10,11825646
11,11825646
17,11825646
60,11825646
65,11825646
68,11870085
12,12842828
36,13154150
64,13154150
8,15730101
9,17571528
64,18667307
56,18674889
5,19087989
12,22323659
19,22323659
70,22875082
65,23395680
60,23437156
61,23692271
56,31079552
59,32620332
53,36809135
44,40275288
1,40961427
3,40961427
20,40961427
19,44767458
52,44767458
1,54442990
4,54442991
7,54442992
18,54442994
20,54442995
23,54442996
27,54442997
30,54442998
31,54442999
32,54443000
33,54443001
35,54443002
38,54443003
41,54443004
42,54443005
43,54443006
46,54443007
47,54443008
48,54443009
49,54443010
50,54443011
52,54443012
53,54443013
54,54443014
55,54443015
69,54443016
70,54443017
71,54443018
4,54443019
5,54443020
7,54443021
10,54443022
16,54443023
17,54443024
18,54443025
20,54443026
23,54443027
26,54443028
31,54443029
32,54443030
34,54443031
38,54443033
48,54443034
50,54443035
58,54443036
60,54443037
63,54443038
65,54443039
69,54443040
70,54443041
71,54443042
4,54443043
5,54443044
7,54443045
10,54443046
12,54443047
16,54443048
21,54443049
27,54443050
28,54443051
32,54443052
33,54443053
35,54443054
36,54443055
38,54443056
41,54443057
44,54443058
48,54443059
51,54443061
57,54443062
58,54443063
61,54443064
62,54443065
68,54443066
69,54443067
71,54443068
58,54443069
