book_id,publisher_id,published_date,published_title,name_publisher
1869,29803,,,Owl Books (Henry Holt)
1875,19695,,,Vintage
1876,19695,,,Vintage
1878,19695,,,Vintage
1885,19805,,,Modern Library
1898,20259,,,Anchor Books
1911,30300,,,"Farrar, Straus and Giroux (NY)"
1934,20924,,,Signet Classics
1946,19777,,,Library of America
1953,19712,,,Penguin Books
1976,20551,,,Egmont Books Ltd
1978,19776,,,NAL
1981,19796,,,New American Library
1990,19683,,,Penguin Classics
2002,19848,,,Arthur A. Levine
2011,19653,,,Tor Books
2013,19718,,,Ace
2017,19721,,,HarperTorch
2028,21776,,,Prometheus Books
2049,20649,,,Vintage Crime/Black Lizard
2050,20649,,,Vintage Crime/Black Lizard
2052,29720,,,Vintage Crime
2054,20649,,,Vintage Crime/Black Lizard
2067,21288,,,Viking Books
2068,19757,,,Simon  Schuster
2081,20793,,,Bantam Books
2094,19722,,,Bantam
2095,19722,,,Bantam
2096,21773,,,Running Press Book Publishers
2103,19816,,,Princeton University Press
2104,21644,,,ReganBooks
2115,19796,,,New American Library
2122,24198,,,Signet Book
2136,19875,,,Picador USA
2137,20267,,,Picador
2139,19824,,,Touchstone
2141,19852,,,Silman-James Press
2142,19651,,,Thomas Nelson
2152,19821,,,G.P. Putnam's Sons
2155,19890,,,"Oxford University Press, USA"
2156,20765,,,Oxford University Press
2159,19845,,,Plume
2165,19817,,,Scribner
2175,20765,,,Oxford University Press
2176,19695,,,Vintage
2178,21659,,,Penguin Books (Penguin Classics)
2182,19683,,,Penguin Classics
2183,19683,,,Penguin Classics
2185,20186,,,New Directions
2187,19875,,,Picador USA
2199,19930,,,Simon & Schuster
2203,29676,,,Simon & Schuster Paperbacks
2250,19757,,,Simon  Schuster
2255,21703,,,HJ Kramer
2265,20592,,,Berkley Publishing Group
2270,20906,,,Broadway
2273,19695,,,Vintage
2279,19757,,,Simon  Schuster
2281,19695,,,Vintage
2287,19695,,,Vintage
2316,19791,,,Yearling
2322,21196,,,Three Rivers Press
2333,20179,,,Houghton Mifflin Harcourt
2336,30378,,,Penguin Books Australia Ltd.
2339,19860,,,Viking
2340,20495,,,Penguin Group
2341,19712,,,Penguin Books
2369,19930,,,Simon & Schuster
2372,19757,,,Simon  Schuster
2373,24198,,,Signet Book
2391,27628,,,Abdo Publishing Company
2402,19731,,,William Morrow Paperbacks
2427,19701,,,Jove
2430,19701,,,Jove
2442,19721,,,HarperTorch
2443,19805,,,Modern Library
2447,20518,,,W. W. Norton & Company
2493,20924,,,Signet Classics
2517,19695,,,Vintage
2528,19881,,,Mariner Books
2530,19881,,,Mariner Books
2531,19881,,,Mariner Books
2535,19881,,,Mariner Books
2536,19915,,,Vintage Classics
2544,21098,,,Waking Lion Press
2547,28004,,,Rupa & Co
2549,26200,,,Alfred A.Knopf
2595,20153,,,McGraw-Hill Education
2612,19815,,,Back Bay Books
2615,21953,,,Harper Paperbacks
2618,22657,,,Harvard Business Review Press
2623,20765,,,Oxford University Press
2657,20322,,,Harper Perennial Modern Classics
2666,20814,,,Dial Press Trade Paperback
2671,19722,,,Bantam
2677,19910,,,Dover Publications
2678,19757,,,Simon  Schuster
2696,29680,,,Penguin Books/Penguin Classics
2711,20381,,,Houghton Mifflin
2715,19712,,,Penguin Books
2723,20793,,,Bantam Books
2725,20141,,,Schocken
2743,29695,,,Health Communications Inc
2744,29742,,,HarperCollins HarperTorch
2748,19665,,,Harper Perennial
2761,20374,,,Free Press
2767,19665,,,Harper Perennial
2784,19781,,,Penguin
2794,19665,,,Harper Perennial
2804,20827,,,Crown Publishing Group (NY)
2811,19732,,,Dell
2823,19683,,,Penguin Classics
2855,20346,,,Arcade Publishing
2865,29681,,,Plume/Penguin
2872,19712,,,Penguin Books
2873,19712,,,Penguin Books
2879,20156,,,VIZ Media LLC
2880,20156,,,VIZ Media LLC
2882,20156,,,VIZ Media LLC
2899,19781,,,Penguin
2900,20688,,,Bloomsbury Publishing
2913,20622,,,Laurel Leaf Library
2915,20622,,,Laurel Leaf Library
2923,19881,,,Mariner Books
2932,19805,,,Modern Library
