book_id,book_avg_rating
1,4.6
2,4.5
3,4.5
5,4.6
6,4.6
8,4.8
10,4.7
11,4.2
13,4.4
21,4.2
22,3.4
24,4.1
25,3.9
26,3.8
27,3.9
28,3.9
29,3.9
30,4.6
33,4.5
34,4.4
50,3.7
58,3.6
59,4.1
61,4.2
67,3.8
78,4.3
79,4.2
93,4.0
105,3.9
112,3.9
117,3.9
122,4.3
160,4.2
163,3.9
204,4.1
208,3.6
231,3.4
236,4.0
245,4.2
246,4.0
247,3.7
248,4.0
249,3.7
250,3.8
252,4.0
253,3.8
254,3.9
258,3.9
264,3.8
275,3.7
277,3.7
278,3.9
280,3.7
290,4.0
291,3.9
295,3.8
304,3.8
320,4.1
327,4.2
343,4.0
348,4.0
350,3.9
351,3.8
352,4.1
353,4.0
354,3.9
355,3.8
357,4.1
359,3.9
362,4.1
365,4.0
378,4.2
385,3.6
386,3.8
400,4.0
402,3.7
408,3.6
409,4.1
413,4.1
415,4.0
418,3.8
421,4.2
424,4.2
428,3.9
431,3.9
432,3.8
435,3.9
446,3.8
447,3.9
449,3.7
454,3.2
456,4.0
463,3.8
475,3.9
477,4.1
493,4.0
509,4.0
597,3.8
599,3.7
629,3.8
647,3.9
654,4.3
655,4.1
656,4.1
658,4.1
662,3.7
665,3.5
667,3.6
668,3.9
669,3.9
676,4.2
682,3.4
685,3.6
698,3.6
703,3.8
706,4.0
760,3.6
771,4.1
816,4.2
822,4.3
823,3.9
827,4.2
835,4.2
840,4.2
868,4.6
870,4.5
871,4.6
873,4.5
880,3.8
890,3.9
900,3.7
902,4.0
903,3.8
905,4.2
925,3.9
929,4.1
960,3.9
968,3.9
976,3.7
998,4.0
1031,3.7
1032,3.7
1035,3.4
1052,4.3
1059,4.2
1067,4.1
1078,4.0
1097,3.7
1110,3.8
1111,4.5
1171,4.2
1202,4.0
1232,4.3
1241,3.6
1274,3.6
1300,4.0
1301,4.3
1303,4.2
1305,4.4
1307,4.1
1316,4.0
1317,3.9
1318,3.8
1319,4.0
1354,4.0
1362,4.0
1371,3.9
1375,4.0
1381,3.8
1414,4.5
1420,4.0
1423,4.4
1426,3.7
1427,3.6
1428,3.6
1429,3.6
1430,3.7
1431,3.7
1467,4.2
1473,4.0
1496,4.0
1519,4.0
1524,3.8
1538,4.3
1540,4.0
1554,3.7
1562,4.2
1567,4.0
1591,3.9
1617,4.3
1618,3.9
1622,3.9
1624,4.2
1625,4.0
1627,3.9
1633,4.0
1663,4.1
1677,4.3
1715,4.1
1814,3.4
1815,4.1
1842,4.0
1845,4.0
1846,3.9
1848,4.3
1849,4.0
1852,3.9
1869,3.6
1875,4.0
1876,4.1
1878,4.1
1885,4.3
1898,4.2
1911,3.7
1934,4.1
1946,4.3
1953,3.8
1976,4.2
1978,4.1
1981,4.0
1990,3.8
2002,4.4
2011,3.8
2013,3.7
2017,4.3
2028,3.8
2049,4.1
2050,4.1
2052,4.0
2054,4.2
2067,3.9
2068,4.0
2081,4.1
2094,4.2
2095,4.2
2096,4.1
2103,4.1
2104,3.8
2115,4.1
2122,3.9
2136,3.6
2137,3.9
2139,4.0
2141,4.2
2142,4.2
2152,3.1
2155,4.2
2156,4.1
2159,3.9
2165,3.8
2175,3.7
2176,3.7
2178,3.6
2182,3.7
2183,3.8
2185,3.9
2187,4.0
2199,4.3
2203,4.1
2250,4.2
2255,4.1
2265,3.7
2270,3.9
2273,4.2
2279,4.1
2281,4.2
2287,3.8
2316,3.9
2322,3.9
2333,3.9
2336,4.1
2339,4.2
2340,4.1
2341,4.1
2369,4.2
2372,4.2
2373,4.2
2391,3.8
2402,3.8
2427,4.0
2430,4.0
2442,4.2
2443,3.9
2447,4.0
2493,3.9
2517,3.9
2528,3.9
2530,3.9
2531,3.8
2535,3.8
2536,4.0
2544,4.1
2547,4.2
2549,4.0
2595,4.1
2612,4.0
2615,4.0
2618,4.0
2623,3.8
2657,4.3
2666,3.9
2671,3.8
2677,4.1
2678,3.8
2696,3.5
2711,4.2
2715,3.7
2723,3.7
2725,4.3
2743,4.1
2744,4.0
2748,3.9
2761,4.2
2767,4.1
2784,3.8
2794,3.7
2804,4.1
2811,3.8
2823,4.0
2855,4.3
2865,3.9
2872,3.6
2873,3.7
2879,4.4
2880,4.2
2882,4.4
2899,3.7
2900,3.8
2913,4.0
2915,3.8
2923,4.3
2932,3.7
2953,4.1
2956,3.8
2971,4.1
2998,4.1
3008,4.2
3023,4.3
3028,4.2
3040,4.4
3049,3.7
3059,4.5
3061,3.9
3066,4.0
3067,4.2
3068,3.9
3077,3.9
3087,3.9
3103,4.0
3107,3.6
3109,4.2
3110,4.0
3139,3.8
3140,4.3
3273,4.2
3275,3.6
3281,4.1
3291,4.0
3300,3.9
3304,3.7
3311,3.4
3326,4.2
3378,3.7
3379,3.7
3381,3.7
3384,3.6
3388,4.0
3394,4.1
3398,4.1
3399,4.2
3412,4.2
3416,4.4
3417,4.2
3420,4.0
3421,4.3
3424,4.3
3431,3.9
3446,3.9
3447,3.8
3462,4.1
3463,4.0
3464,3.8
3465,4.0
3466,4.0
3467,3.7
3478,4.0
3483,3.7
3507,4.1
3526,3.7
3532,3.8
3559,4.1
3562,4.1
3579,4.4
3581,4.5
3586,4.5
3590,4.3
3630,3.7
3635,4.3
3636,4.1
3637,3.7
3656,3.5
3659,3.7
3677,3.6
3679,3.7
3682,3.8
3685,4.0
3686,3.9
3690,4.0
3692,4.0
3698,4.0
3710,3.2
3711,3.8
3717,3.6
3750,3.7
3757,3.8
3758,3.7
3759,3.8
3760,3.6
3762,4.0
3763,3.6
3764,3.9
3782,4.0
3783,4.1
3788,4.0
3789,4.1
3797,4.3
3805,3.8
3830,4.0
3832,3.9
3833,4.0
3836,3.9
3858,3.5
3867,3.9
3869,4.2
3872,3.8
3873,3.9
3876,3.8
3895,4.2
3921,3.4
3943,4.4
3972,3.9
3973,4.0
3974,4.1
3977,4.2
3978,3.6
3979,3.6
3980,4.2
3985,4.2
4004,3.6
4006,3.3
4008,3.6
4009,4.2
4031,3.7
4035,4.1
4042,3.3
4069,4.4
4099,4.3
4117,3.9
4136,3.9
4137,4.0
4138,4.1
4143,3.8
4171,4.1
4191,4.0
4214,3.9
4264,3.7
4268,3.2
4271,3.8
4318,3.8
4325,3.9
4330,4.2
4338,4.0
4339,4.2
4341,3.6
4360,4.3
4364,3.9
4373,4.4
4390,3.8
4392,4.0
4395,4.0
4406,4.4
4424,4.1
4451,4.0
4473,4.2
4477,4.3
4485,3.9
4488,3.5
4507,3.7
4515,3.8
4516,4.0
4519,3.9
4530,3.1
4538,3.8
4580,4.0
4588,4.0
4591,4.0
4599,4.1
4605,3.5
4608,3.6
4625,4.3
4630,3.6
4631,4.0
4633,3.9
4645,3.9
4648,3.7
4652,3.8
4656,3.3
4659,3.8
4660,3.2
4662,4.2
4671,3.9
4685,3.7
4687,4.1
4692,4.4
4696,4.1
4701,3.5
4708,3.8
4723,4.4
4796,4.0
4798,4.2
4799,4.0
4806,4.0
4813,3.6
4820,3.9
4830,3.9
4831,3.8
4835,4.0
4845,4.3
4855,3.7
4865,4.2
4866,4.1
4868,4.1
4870,4.0
4887,4.1
4894,3.8
4900,3.4
4909,3.8
4912,3.7
4921,3.9
4926,4.1
4929,4.1
4934,4.3
4948,4.3
4950,4.0
4952,4.2
4953,3.7
4954,3.6
4965,4.0
4978,4.2
4979,4.1
4980,4.1
4981,4.1
4982,4.2
4983,4.4
4984,3.7
4985,4.1
4986,3.8
4989,4.2
4998,4.2
5015,3.6
5036,4.2
5038,3.7
5043,4.3
5053,3.9
5055,3.8
5058,3.9
