book_id,author_id
9487,12352
6050894,12352
311164,10059
24876258,8443
80631,13907
22028,9530
15990489,9421
15743075,8193
13549445,18281
18523711,9555
17234659,8202
165782,8656
274400,8815
7831145,8159
58893,8573
153783,8573
870461,12352
286136,8595
93729,8227
71869,9683
7519640,10022
2214574,8105
7163862,12090
8662135,9618
97860,12601
79484,15210
1438096,19742
39097,15192
1783289,9608
7704979,8227
24764,8157
1891296,13464
294042,13717
8685644,10434
15549,8940
10414941,12220
10065348,16924
11242368,16924
19286623,8741
100629,11980
28978,13932
7943678,8227
167302,14178
311308,10059
16356,9508
82553,9683
16130758,8076
13425352,8340
922119,12200
5350,9523
294285,8380
22852698,9402
457762,10100
618924,17006
13151,8130
402,13721
244475,11992
12447,12383
85993,8227
3942622,8387
47241,11942
339026,8576
37451,10116
630561,11235
13075513,9702
140278,9508
137098,10318
20787232,9608
50725,15112
1933181,8424
13806,9810
12700306,9350
17558817,8228
529126,12965
45234,16024
6420,8129
13012638,16924
10222362,8230
7958,8761
93794,10621
943903,9206
545875,14567
149621,13232
11750412,9448
15815333,13080
11237412,8340
127028,12269
177523,10306
20550148,10689
17735,17142
22693811,10782
153193,8394
10329483,12361
2917367,9016
782898,15220
117904,19557
13438524,8755
12121575,10689
137972,9670
15814479,15484
9317110,9608
597040,8386
5137,18596
18669536,10962
41958,9421
862108,10275
16315,9508
13325079,15245
5055,8153
6340016,10488
32430,9957
1988040,10067
107792,8177
60483,9391
126507,9515
10816297,13711
15817326,8169
23492741,8656
4447991,19371
24963,8944
6359133,15963
175828,19809
44236,11623
762053,8362
155206,12220
22756190,13251
613218,10805
74043,8383
16182,8154
640029,9344
8350864,9294
21863558,18281
21400356,8701
11746102,8393
15790833,13159
458313,11992
216196,16797
6280379,8820
10082035,8401
10174795,14528
143728,13487
50695,11281
17570751,9169
73051,14028
12882349,15216
233904,11823
3157877,8413
22193,10116
32957,9370
41951,9421
563457,9647
628283,11241
238126,8175
27153413,8205
20345202,8300
110396,8709
32940867,8125
2464531,13932
747746,8795
129117,10279
68333,11938
236814,17418
19476,9538
18249280,9397
22192,10116
233044,14751
42960,8877
10551253,16981
4789801,9984
104344,8077
38225791,9796
456,14257
24903919,9361
366787,15324
71622,10983
45241,9733
7312324,8928
10897866,11038
1049509,13078
19580,8933
830784,9358
15046,8686
2002,8127
9394010,8160
12955738,11029
24804,19872
40670312,10388
32758901,11986
74046,8383
3630983,11992
228534,9362
1022209,13468
140260,10519
114172,8011
2592122,13481
844935,10515
6503154,8387
8608453,11555
6687247,14455
10048874,13064
179174,14862
53645,12134
17204860,8730
110393,8709
188454,17162
231560,13167
339210,18250
105574,8011
3416,8888
9554790,9937
6100797,9168
61898,9257
6777616,8842
78972,8945
25128811,16652
762563,19242
80672,8946
47922,10116
22189,10116
6793336,8826
104627,9386
61115,8136
2420340,9340
3216451,10439
6090807,14579
17305783,11311
11277218,8842
13316328,8088
13642963,8842
15799936,15340
7101,15884
6973753,10116
228128,12773
92846,8940
13516487,13170
10283764,9194
35519101,11986
22191,10116
438923,17827
590324,15399
6285955,9387
26480,10808
54028,9386
2330877,19472
6586456,8324
35465,13786
8241088,19342
96428,14862
59821,8362
4333469,12722
42929,8889
564325,18725
257962,8572
