book_id,character_id
7163862,142239
199635,142243
294285,142285
618924,142289
45234,142353
943903,142368
13438524,142388
9526,142419
13325079,142420
175828,142465
2305862,142484
216196,142509
609870,142552
129223,142572
563457,142579
9888794,142656
2141,142758
1022209,142771
146943,142807
104627,142834
13316328,142861
438923,142923
166562,142973
1032,143006
44516,143007
10169662,143035
2848807,143047
11324334,143060
62794,143087
596986,143109
1205297,143126
128529,143001
1380834,143255
20903622,143296
297898,143302
6309229,143345
186668,143381
7139340,143412
17700404,143415
6912491,143426
3170458,143427
724666,143428
6455256,143429
763489,142132
89716,143466
66692,143475
381364,143476
8951449,143504
73906,143511
5082616,143563
18858489,143608
7097866,143302
101191,143609
43691,143610
26245853,143645
77040,143646
634407,143665
76758,143666
1835150,143713
8721183,143721
10331050,143722
22044543,143415
10040,143749
65399,143750
68530,143751
56083,143759
768884,143788
6164596,143841
862311,143854
62535,143863
18505844,143897
20801166,143903
6021526,143930
443765,143934
65053,143960
3485562,143961
6366110,143961
826564,143962
300045,143678
102575,144013
290,144014
7343071,144015
140099,143302
958277,144155
1002539,144195
122986,144200
246035,144220
698034,144234
227481,142374
96334,144433
14009,144440
40271,144450
645260,144456
523795,144457
4002159,143678
278794,144422
10336669,143302
6763730,144530
30263024,144544
135060,144548
41945163,144624
815173,144700
18829666,144758
2011,144773
833060,144774
68097,142269
268437,144779
6113697,144790
7940589,144805
149049,144845
167040,144875
149852,144938
1007172,145072
195144,145073
16074843,145086
17210598,145107
11436723,145110
400812,145111
60030,145112
185404,144490
2399928,145125
37304,145178
18350798,145193
175328,145207
22736613,145218
21062,144779
5063647,145299
2889121,145346
8787,145370
35535454,145389
997897,145409
77398,145410
94673,145415
55751,145284
33553,145460
13533656,145465
22583196,145467
670906,143665
269713,145491
40450,145492
258872,145533
5136,145544
1706794,145583
602398,145584
17333322,145587
7280026,145608
6413473,145648
13414835,145748
13409664,145767
191113,145793
6287072,145805
462981,145872
7101705,145873
11653,145894
349473,146071
1270615,146089
8478549,146092
127975,146102
746673,145284
4885470,146123
1688598,146132
34282,146167
708694,146185
1033957,146186
12819342,146204
16045140,146220
13542560,146236
185911,146283
113110,146300
