book_id,award_id
5,1
11,2
14,3
16,4
17,5
27,6
29,7
31,8
32,9
36,10
40,11
42,12
44,13
46,14
47,15
48,16
49,17
54,18
55,19
56,20
64,21
68,22
70,23
72,24
77,25
78,26
80,27
86,28
87,29
90,30
97,31
113,32
114,33
122,34
126,35
134,36
42960,37
136,38
138,39
43904,40
143,41
145,42
151,43
153,44
155,45
173,46
174,47
177,48
180,49
182,50
186,51
188,52
189,53
190,54
194,55
195,56
198,57
202,58
205,59
43142,60
212,33
213,61
214,62
216,63
217,64
221,65
222,66
228,67
231,68
236,69
238,70
245,71
246,72
254,73
260,74
261,75
263,76
266,77
270,78
277,79
281,80
283,81
284,82
285,83
286,84
43193,85
290,86
292,87
295,88
302,89
43115,90
306,91
311,92
313,93
317,94
321,95
323,96
329,97
331,98
332,99
339,100
342,101
348,102
351,103
355,104
46307,105
361,106
365,107
370,108
371,109
382,110
385,111
395,112
397,113
398,114
399,115
402,116
406,117
417,118
425,119
435,120
45906,121
441,122
457,123
466,124
482,125
486,126
489,127
490,128
500,129
519,130
524,131
540,132
542,133
549,134
553,135
559,136
568,137
583,138
585,139
592,140
595,141
596,141
606,142
617,143
620,144
631,145
633,146
639,147
641,148
647,149
649,150
653,151
659,152
662,153
667,18
676,154
677,155
678,156
684,157
697,158
703,159
706,160
711,161
48655,162
719,163
720,164
729,165
734,166
737,167
740,168
743,169
744,170
746,171
749,172
751,173
757,174
767,175
39915,176
791,143
795,177
812,178
817,51
42862,179
819,180
822,181
823,3
830,182
832,183
842,184
846,185
847,186
851,187
853,188
855,189
858,190
860,191
862,192
863,193
867,194
869,195
872,196
875,197
876,198
882,199
894,200
895,201
897,202
905,203
912,204
920,205
922,206
923,207
936,208
938,209
940,210
942,211
947,212
958,213
965,214
979,215
980,216
981,217
984,218
985,219
988,220
999,221
1000,222
1001,223
1002,224
1004,225
1006,226
1007,227
1010,228
1021,229
1022,230
1023,231
1026,232
1027,233
1028,234
1032,33
1033,172
1034,235
1037,236
1040,107
33780,237
1043,238
1044,239
31764,240
43490,241
1069,242
1070,243
1071,244
45498,245
1089,246
1094,247
1101,248
1103,249
1113,103
1114,250
41262,251
1121,252
1122,253
1127,254
1128,255
1132,256
1133,257
1138,258
1140,259
1153,260
1154,261
1165,262
1167,263
1170,264
1172,265
1176,266
1179,267
1181,268
1183,269
1193,270
1198,271
1204,272
1211,273
1214,274
1217,275
1222,276
1226,277
1230,278
1236,279
1238,280
1239,281
1241,282
1247,283
1253,284
1255,285
1261,286
1264,287
1270,288
1271,289
1273,290
1277,291
1278,292
1279,293
1284,294
1287,295
1289,296
1291,297
1292,298
1297,299
1299,300
51500,301
1302,302
32511,303
1308,304
1311,305
1315,306
1318,307
1319,308
1322,309
1326,310
1334,311
1335,233
1341,312
1342,313
1344,314
1349,315
1356,316
1359,317
1365,318
1367,319
1370,320
1372,321
1387,322
1391,323
1392,324
1394,325
1402,326
1403,327
1411,328
1417,329
1423,330
1432,331
1434,332
1436,333
1439,334
1441,335
1444,336
1455,337
1470,338
1471,339
1472,340
1477,341
1481,342
43377,343
1483,344
1485,345
1486,346
1491,347
1499,348
1505,349
1506,350
35716,351
38194,352
1526,353
1533,354
1541,355
1545,356
1549,357
1557,358
1558,359
1559,360
1565,361
1568,362
1573,363
1581,364
33087,365
1587,366
38746,367
1596,368
1599,369
1600,370
1601,371
1607,372
1609,373
1610,374
1611,375
1612,376
1614,377
1615,378
1616,379
1621,380
1637,381
1640,382
1643,383
1644,384
1645,385
1653,386
1660,387
1661,388
1670,389
1672,390
1674,391
1677,392
1684,393
1688,394
1694,395
1696,396
1702,397
1704,398
1714,399
1715,400
1717,401
44009,402
1729,403
1741,404
1747,405
1752,406
1754,407
1755,84
1760,408
1761,409
1764,410
38601,411
1767,412
1769,413
1770,414
1775,415
52194,416
1789,417
1792,418
1794,419
1797,420
43767,421
1801,422
1802,423
1805,424
1811,425
1816,426
1817,427
1819,428
1836,429
1839,430
1840,431
1843,432
1861,433
1862,434
1864,435
1866,436
1872,437
1873,438
1875,439
1876,440
1878,441
1879,442
2682,443
1887,444
1890,445
1891,446
1892,447
1894,286
1896,448
1897,449
1899,450
1903,451
1905,452
1911,453
1914,454
1917,455
1928,456
1937,457
1943,458
1944,459
1948,460
1951,461
1953,462
1955,463
1956,464
1963,465
1964,466
1967,467
1968,468
1969,469
1992,470
1994,471
1995,472
1996,473
1997,474
1999,475
2006,476
2009,106
2016,477
2025,478
48543,479
36105,480
2049,481
36907,482
2061,483
2062,484
2070,485
2074,486
2077,487
2081,488
2083,489
2085,490
2098,491
2101,492
2104,493
2105,494
2109,495
2110,496
32282,497
2121,109
2123,498
2129,499
2133,500
2143,501
36417,502
2146,503
2147,504
2148,505
2149,506
2150,507
2153,508
2154,509
2156,510
2161,511
2164,512
2165,513
2168,514
2170,515
2176,516
2177,517
2179,518
2180,519
2184,520
2188,521
2189,522
2191,523
2193,524
2196,525
2201,526
2202,527
2203,528
2204,529
2206,530
2209,531
2210,532
2214,315
2215,533
2226,534
2227,535
2231,536
2233,537
2234,538
2236,539
2239,425
2241,540
2244,541
2245,542
2250,543
2255,544
2257,545
2261,546
2271,547
2273,548
2276,549
2281,550
2283,551
2289,552
2293,553
2297,554
2300,555
2302,556
2303,557
2306,558
43377,559
2310,560
2313,561
2316,562
2322,563
2325,564
2330,565
2331,566
2339,567
2345,568
2346,569
2347,570
2348,571
2349,396
46908,572
2371,573
2372,574
2377,575
2381,576
2386,577
2389,578
2397,579
2403,580
2404,581
2405,582
2408,583
2410,584
2416,585
2417,586
2421,587
2422,588
2424,589
2425,590
2426,591
2429,592
2435,593
2437,594
2438,595
2444,596
32511,597
2447,598
35449,599
2457,600
2463,601
2464,602
2465,603
2466,604
2467,605
2478,606
2480,607
2481,608
2482,609
2483,610
2485,611
2486,612
2490,613
2491,614
2493,615
2494,616
2497,617
2500,618
2501,619
2502,620
2503,621
2507,622
2509,623
2521,624
2524,625
2525,626
51640,627
2539,628
2541,629
2547,630
2548,631
2551,632
2552,633
2553,521
2554,634
2556,576
2561,635
2562,59
2564,636
2567,637
2569,638
2577,639
2578,640
2580,641
2581,642
2585,643
2596,644
2605,645
2625,646
2628,321
2629,647
2632,648
2633,649
2635,650
2644,651
2646,652
2648,653
2650,654
2651,655
2652,656
2657,657
2658,658
2660,659
2667,660
2668,661
39907,662
2671,663
2677,143
2681,664
2684,665
2694,666
2695,667
2701,668
2703,669
2706,670
2710,671
2721,672
2731,673
2732,674
2734,675
2739,676
2741,677
42712,678
2744,679
2748,680
2763,681
2766,682
39913,683
2775,684
2780,685
2783,686
2784,687
2793,688
2797,689
2799,690
2801,691
2826,692
2827,693
2828,694
2829,695
2833,696
2838,697
2840,698
2853,699
2854,84
2860,700
2861,701
2862,702
2869,703
2874,704
2876,705
2879,706
2880,707
2886,708
2887,709
2898,710
2900,711
2901,313
2902,712
2903,713
36264,33
2917,714
2927,715
2928,716
2930,717
2934,718
2940,719
2942,720
2943,721
2946,722
2950,723
32260,724
2955,725
2958,508
2961,726
2962,727
2969,728
2971,729
2973,730
2979,731
2980,732
2981,733
2988,734
2993,735
2994,736
2997,737
2999,738
3000,739
3014,738
3016,740
3018,741
3020,742
3021,743
3036,474
3038,744
3041,745
3044,746
3046,747
3050,748
3052,749
3053,750
3055,751
3056,752
3058,753
3060,754
3063,755
3070,756
3075,757
3082,758
3085,759
3096,760
3097,761
3101,762
3109,763
3110,764
3111,765
3119,766
3120,767
3129,768
3134,769
3140,450
3141,770
3147,84
3152,771
3153,772
3159,773
3164,774
34173,775
3176,776
3177,149
3190,777
3200,778
3201,779
3202,780
3204,781
3211,782
3212,211
3220,783
3221,784
3225,785
3231,786
3238,787
3239,788
3245,789
3248,790
3251,791
3268,792
3269,793
3273,794
3277,795
39582,796
3283,797
3287,798
3292,799
3297,800
3303,801
3317,802
3321,803
3323,804
3324,805
3329,441
3331,806
3337,807
3340,808
3347,809
3354,810
3356,811
3360,812
3361,813
3366,814
3382,815
3387,816
3395,817
3398,818
3399,819
32925,820
3401,821
3405,822
3414,823
33044,824
3418,716
3421,825
3428,826
3430,506
3431,827
3433,335
3437,828
3440,829
35604,830
3448,831
3450,832
3452,833
3457,834
3462,835
3468,836
3477,837
1661,838
3488,839
3490,840
3492,841
3495,842
3496,668
3507,843
3508,844
3510,845
3512,846
3513,847
3514,848
3522,849
3525,850
3529,851
3530,852
3532,853
3533,405
3534,854
3536,855
3537,856
3541,857
3556,858
3563,859
3566,860
3572,861
3578,129
3587,862
3590,863
3594,864
35142,321
3605,865
3608,866
3610,625
3615,867
3626,868
3627,869
3628,870
3630,871
3636,872
3637,873
3641,874
3643,875
3646,876
3650,877
3651,878
3652,879
3654,880
3660,881
3661,882
35386,883
3677,884
3685,885
3689,886
3691,887
1115,888
3700,889
3702,694
3703,890
3704,891
3707,892
3713,893
3714,894
3721,895
3724,896
38271,897
3727,898
3728,899
3731,900
37863,901
3745,902
3752,903
3754,904
3759,905
3768,906
3769,907
3775,908
3779,909
3785,910
3788,330
3790,911
3791,912
3794,913
3796,914
3801,915
3802,916
3803,917
3804,918
3805,919
45202,920
3808,921
3810,922
3811,923
3820,924
3826,925
3828,143
39568,926
44033,927
3835,928
3839,929
3841,227
3849,835
3853,930
3854,931
3863,932
3866,933
3868,934
3869,935
3873,936
3875,937
3880,938
3884,939
3892,940
3896,941
3897,942
3902,943
3907,944
3912,945
3923,946
3936,33
3937,947
3940,948
3946,949
3954,950
3955,951
3956,952
3958,953
3968,954
3971,955
3973,956
3975,957
3979,958
3985,959
3987,960
3988,961
3994,372
3997,962
4003,963
4008,964
4009,965
4011,106
4014,966
4017,967
4032,968
32939,969
4038,970
4040,971
4042,972
45813,973
4053,974
4056,975
4061,976
4081,977
4087,156
4093,978
4094,979
4095,980
4105,981
34537,982
4117,983
4122,984
4128,985
4133,986
4134,987
4137,988
4138,989
4139,990
4143,991
4163,992
4005,993
4165,994
4166,995
4169,996
4170,997
4171,998
4178,999
4180,1000
4187,1001
4189,1002
4191,1003
4193,1004
4196,1005
4200,1006
4204,1007
4206,1008
4207,129
4208,1009
4209,1010
4210,1011
4214,1012
4219,1013
4222,1014
4224,1015
4228,1016
4229,1017
4230,1018
4232,1019
4233,1020
4235,1021
4236,1022
4244,1023
4250,1024
4251,1025
4253,1026
4260,1027
4261,1028
4264,1029
4272,1030
4281,1031
4283,1032
4287,1033
4290,1034
4293,1035
4302,1036
4303,1037
4311,179
4314,1038
4317,1039
4327,1040
4328,1041
4332,1042
4344,1043
4346,1044
4347,1045
4348,1046
4350,1047
4361,1048
4364,1049
4366,1050
4369,1051
4370,1052
4371,1053
4374,1054
4375,1055
4376,1056
4377,1057
4380,1058
4385,1059
4386,1060
4388,1061
4394,1062
4397,1063
4409,1064
4411,61
4414,1065
4417,1066
4421,1067
4422,1068
4424,838
4428,402
4434,1069
4438,1070
4444,1071
4445,1072
4446,1073
4449,1074
4452,1075
4453,1076
4456,1077
4463,1042
4473,1078
4486,1079
4490,1080
4500,1081
4504,1082
4506,1083
4507,1084
4508,1085
4513,1086
4515,1087
4519,1088
4522,1089
4530,1090
4533,1091
4550,1092
4559,1093
4562,1094
4563,1095
4565,1096
4566,1097
4574,1098
4575,1099
4577,1100
4578,1101
4583,1102
4584,1103
4586,1104
4592,1105
4598,1106
4604,1107
4608,1108
4617,1109
4619,1110
4621,1111
4623,1112
4625,1113
4626,1114
4627,1115
4633,1116
4635,1117
4638,1118
4645,1119
4646,1120
4649,1121
4651,1122
3432,1123
44128,1124
4657,1125
4660,1126
4668,1127
4669,1128
4672,1129
4676,1130
4677,1131
4678,1132
4679,1133
4682,1134
4683,1135
4685,1136
4687,1137
4691,1138
4695,1139
4697,1140
4704,1141
4709,1142
4722,1143
4724,1144
4725,1145
4731,1146
1307,1147
4738,1148
4739,1149
4745,1150
4750,1061
4753,1151
4758,1152
4759,1153
4767,1154
4769,1155
4771,1156
4777,1157
4790,235
4796,33
4798,1158
4806,1159
4819,52
4820,1160
4825,1161
4850,1162
4851,1163
4855,1164
4858,1165
4859,1166
4860,1167
4866,1168
4872,599
4874,1169
33469,1170
4882,1171
4884,156
4888,1172
4896,1173
4897,1174
38577,402
4901,1175
4914,1176
4917,1177
4923,1178
4924,1179
4929,1180
4935,1181
4939,1182
4942,1183
37350,1184
4947,1185
4949,395
4961,1186
4965,1187
4967,1188
4969,1189
4977,1190
4986,1191
4990,1192
4991,905
4996,1193
5007,1194
788,787
5014,1195
5019,1196
5025,1197
5028,1198
47945,1199
5034,1200
5039,1201
5040,1202
5045,227
5046,1203
5057,1204
31750,1205
5064,1206
5068,1207
5073,1208
5076,1209
5079,1210
5080,1211
5086,1212
5090,1213
5095,1214
5097,1215
5105,1216
5110,1217
5111,1218
5114,1219
5116,1220
5117,1221
5120,1222
5121,1223
5123,1224
5127,1225
5128,1226
5130,1227
5131,1228
5133,1229
5138,1230
34591,1231
5150,1232
5164,1233
5166,1234
5171,1235
5176,1236
5180,1237
5181,1238
5183,1239
5189,1240
5193,1241
5196,1242
5204,1243
5207,1244
5210,1245
5218,1246
5223,1247
5227,1248
5228,1249
5232,1250
5235,1251
5236,1252
5238,1253
5241,1254
5244,1255
5248,1256
5250,1257
5252,1258
5253,1259
5256,1260
5262,1261
5269,1262
5271,1262
49098,1263
5274,1264
5276,1265
5286,1266
5287,1267
5290,1268
5291,1269
5308,402
5310,1270
5311,1271
5312,1272
5313,1273
5316,1274
5317,1275
5333,571
5343,1276
5351,1277
5352,1278
5362,1279
5363,1280
5364,1281
5367,1282
5371,1145
5374,1283
5375,1284
5378,1285
5384,1286
5388,1287
5391,1288
43423,321
41024,1289
5407,1290
5413,1291
5415,1292
5421,1293
47002,1294
5433,1295
5444,1296
5452,1297
41943,1298
5460,1299
5461,1300
5462,1301
5463,1302
5473,1303
5475,1304
5476,1305
37771,287
5480,645
5481,1306
5482,1307
5487,1308
5495,1309
5496,1310
5502,1311
5509,1312
5512,1313
5513,1314
5522,1315
5524,1316
5526,1317
5530,1096
5536,1318
5538,1319
5541,1320
5544,1321
5548,1322
5553,1323
5556,1324
5558,1325
5560,1326
5563,1327
5564,1328
5569,744
43982,1329
5580,1330
5581,1331
5584,1332
31891,1333
5589,1334
5591,1335
5596,1336
5599,1337
5600,1338
5602,1339
5606,1340
5608,1341
5612,1342
5614,1343
5616,1344
5622,1345
5624,1346
5626,1347
5629,1348
5637,1349
5640,1350
5641,1351
5645,244
5649,1274
5651,1352
5652,1353
5658,1354
5665,1355
5667,18
5674,1356
5675,913
5680,1357
5683,1017
5693,1358
5694,1359
5703,1360
5706,1361
5710,1362
5720,1363
5729,1364
5730,1365
5735,143
5754,1366
5760,1367
5766,1368
5769,1369
5771,1370
5773,287
5780,1371
5795,1372
5803,1373
5806,1374
5807,1375
1182,1376
5819,1377
5836,1378
5837,233
5838,1379
5842,1380
5847,913
5848,1381
5851,156
5858,1382
5866,1383
5871,1384
5872,1385
5873,1386
33027,1387
5876,1145
5877,1388
5878,1389
5880,1390
5890,1391
5898,1392
5911,1348
5912,117
5914,1393
5915,1394
5916,1395
5917,1396
5918,1397
5920,667
5922,1398
5928,1399
5941,706
5943,1400
5944,1401
5946,1402
5948,1403
5956,1404
5958,1405
5962,1406
5963,34
5981,1407
5984,1408
5991,1409
5994,1410
5997,1411
5998,1412
5999,508
6002,1413
6004,1414
6006,1415
6007,1416
6008,1417
6011,1418
